album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
Live Fast (Japan Exclusive),1,2AyFIMdLgqv5yjbPzIF6Qx,Live Fast - PUBGM,spotify:track:2AyFIMdLgqv5yjbPzIF6Qx,0.104,0.691,0.557,0.0,0.427,-5.448,0.0454,87.546,0.193,22
Live Fast (Japan Exclusive),2,7KhHA3mzt7A3LFlOJEAKpI,On My Way,spotify:track:7KhHA3mzt7A3LFlOJEAKpI,0.0209,0.509,0.689,0.0,0.301,-4.929,0.102,170.087,0.297,43
Live Fast (Japan Exclusive),6,13I9qqQBL23ZPxFCUO967w,The Spectre,spotify:track:13I9qqQBL23ZPxFCUO967w,0.0214,0.654,0.711,0.00191,0.0903,-7.438,0.0383,127.957,0.198,37
Live Fast (Japan Exclusive),8,0mMKRYVhwswhSoccZcSvtv,Faded (Restrung),spotify:track:0mMKRYVhwswhSoccZcSvtv,0.918,0.386,0.387,0.00074,0.14,-6.649,0.0288,179.957,0.34,18
Different World,1,7dcmZskqXONZuIuqGRLJ1C,Intro,spotify:track:7dcmZskqXONZuIuqGRLJ1C,0.864,0.399,0.222,0.802,0.0906,-11.073,0.0433,128.231,0.0387,60
Different World,2,0lG6QM1jjbbX5UUn3DPmrZ,Lost Control,spotify:track:0lG6QM1jjbbX5UUn3DPmrZ,0.0345,0.736,0.555,0.000157,0.0798,-4.689,0.0757,91.997,0.323,69
Different World,3,7kVDkZkZc8qBUBsF6klUoY,I Don't Wanna Go,spotify:track:7kVDkZkZc8qBUBsF6klUoY,0.136,0.423,0.751,0.0,0.243,-5.632,0.272,148.773,0.522,64
Different World,4,0lks2Kt9veMOFEAPN0fsqN,Lily,spotify:track:0lks2Kt9veMOFEAPN0fsqN,0.196,0.423,0.634,0.0,0.189,-5.877,0.0578,150.978,0.467,76
Different World,5,6HMT7AzGA5wmn5m2t1BuZR,Lonely (feat. ISÁK & Omar Noir),spotify:track:6HMT7AzGA5wmn5m2t1BuZR,0.00911,0.521,0.819,0.00227,0.086,-7.267,0.0413,89.952,0.184,62
Different World,6,1xUZ6CgfpXspcQuEIOhf2v,Do It All for You,spotify:track:1xUZ6CgfpXspcQuEIOhf2v,0.126,0.684,0.657,1.26e-06,0.109,-5.483,0.0433,82.007,0.415,61
Different World,7,4heFQCyiW0RUEX1Q1lb008,Different World (feat. CORSAK),spotify:track:4heFQCyiW0RUEX1Q1lb008,0.0638,0.602,0.752,0.0,0.13,-4.931,0.0361,130.037,0.331,66
Different World,8,5Q7xgSQqyhwrC2fJAXLeWE,Interlude,spotify:track:5Q7xgSQqyhwrC2fJAXLeWE,0.917,0.467,0.0262,0.95,0.132,-14.617,0.0406,130.253,0.218,58
Different World,9,1tfVpMI8G6EakZU4rEja4w,Sing Me to Sleep,spotify:track:1tfVpMI8G6EakZU4rEja4w,0.0129,0.474,0.622,3.82e-06,0.327,-6.381,0.061,176.062,0.158,69
Different World,10,1HvCFAUIWQsWV9zud3UhDl,All Falls Down (feat. Juliander),spotify:track:1HvCFAUIWQsWV9zud3UhDl,0.253,0.655,0.672,0.0,0.312,-4.966,0.0581,98.005,0.675,68
Different World,11,6SRWhUJcD2YKahCwHavz3X,Darkside,spotify:track:6SRWhUJcD2YKahCwHavz3X,0.131,0.43,0.606,0.0,0.173,-5.115,0.0431,169.988,0.123,75
Different World,12,3LlmKSHR3Rs0Y3KHQLAYDk,Alone,spotify:track:3LlmKSHR3Rs0Y3KHQLAYDk,0.229,0.673,0.914,0.000478,0.186,-3.962,0.0496,97.021,0.183,74
Different World,13,0nrWZWkJM62ftQJSI8fDc0,Diamond Heart,spotify:track:0nrWZWkJM62ftQJSI8fDc0,0.123,0.478,0.633,0.0,0.41,-6.19,0.0345,89.909,0.287,67
Different World,14,02Jk9LuQmKe6YYFfcRdXpY,Faded (Interlude),spotify:track:02Jk9LuQmKe6YYFfcRdXpY,0.761,0.347,0.306,0.967,0.166,-19.755,0.038,179.792,0.0862,58
Different World,15,698ItKASDavgwZ3WjaWjtz,Faded,spotify:track:698ItKASDavgwZ3WjaWjtz,0.0281,0.468,0.627,7.97e-06,0.11,-5.085,0.0476,179.642,0.159,79
Different World,5,4aTmmNArKCGNa6zT4QZtBD,Lonely,spotify:track:4aTmmNArKCGNa6zT4QZtBD,0.00911,0.521,0.819,0.00227,0.086,-7.267,0.0413,89.952,0.184,2
Different World,6,1LP3eSKjpQjbo1zYk2ZCGh,Do It All For You,spotify:track:1LP3eSKjpQjbo1zYk2ZCGh,0.126,0.684,0.657,1.26e-06,0.109,-5.483,0.0433,82.007,0.415,1
Different World,7,4Ir5q7w4p3R2ymUb9aVs7i,Different World,spotify:track:4Ir5q7w4p3R2ymUb9aVs7i,0.0803,0.606,0.755,0.0,0.138,-4.839,0.039,129.965,0.35,1
Different World,10,7yNYNKT6drpY0nya8jnWCi,All Falls Down,spotify:track:7yNYNKT6drpY0nya8jnWCi,0.301,0.658,0.678,0.0,0.356,-4.407,0.0576,97.999,0.662,2
Different World,14,0yDkLUCJhSr0LCqXlJGMwd,Faded - Interlude,spotify:track:0yDkLUCJhSr0LCqXlJGMwd,0.761,0.347,0.306,0.967,0.166,-19.755,0.038,179.792,0.0862,0
