album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
No.6 Collaborations Project,1,70eFcWOvlMObDhURTqT4Fv,Beautiful People (feat. Khalid),spotify:track:70eFcWOvlMObDhURTqT4Fv,0.124,0.64,0.648,0.0,0.0802,-8.113,0.187,92.977,0.548,80
No.6 Collaborations Project,2,4vUmTMuQqjdnvlZmAH61Qk,South of the Border (feat. Camila Cabello & Cardi B),spotify:track:4vUmTMuQqjdnvlZmAH61Qk,0.148,0.857,0.621,0.0,0.0865,-6.376,0.0824,97.986,0.668,84
No.6 Collaborations Project,3,4wuCQX7JvAZLlrcmH4AeZF,Cross Me (feat. Chance the Rapper & PnB Rock),spotify:track:4wuCQX7JvAZLlrcmH4AeZF,0.214,0.746,0.787,0.0,0.0669,-6.373,0.12,95.005,0.607,68
No.6 Collaborations Project,4,1AI7UPw3fgwAFkvAlZWhE0,Take Me Back to London (feat. Stormzy),spotify:track:1AI7UPw3fgwAFkvAlZWhE0,0.219,0.885,0.762,0.0,0.162,-5.513,0.216,138.059,0.605,73
No.6 Collaborations Project,5,0VsGaRXR5WAzpu51unJTis,Best Part of Me (feat. YEBBA),spotify:track:0VsGaRXR5WAzpu51unJTis,0.762,0.565,0.242,9.3e-06,0.285,-8.367,0.0318,81.657,0.237,70
No.6 Collaborations Project,6,0hVXuCcriWRGvwMV1r5Yn9,I Don't Care (with Justin Bieber),spotify:track:0hVXuCcriWRGvwMV1r5Yn9,0.0912,0.798,0.675,0.0,0.0894,-5.041,0.0442,101.956,0.842,81
No.6 Collaborations Project,7,1DhRbox3xkceP64k3JeYfW,Antisocial (with Travis Scott),spotify:track:1DhRbox3xkceP64k3JeYfW,0.133,0.715,0.823,0.0,0.361,-5.313,0.0495,151.956,0.91,72
No.6 Collaborations Project,8,0AtP8EkGPn6SwxKDaUuXec,Remember The Name (feat. Eminem & 50 Cent),spotify:track:0AtP8EkGPn6SwxKDaUuXec,0.135,0.852,0.666,0.0,0.798,-6.923,0.184,91.046,0.726,73
No.6 Collaborations Project,9,1Bdptrvb7nQkq8kCw3siE9,Feels (feat. Young Thug & J Hus),spotify:track:1Bdptrvb7nQkq8kCw3siE9,0.112,0.665,0.68,0.0,0.096,-4.899,0.29,91.67,0.69,65
No.6 Collaborations Project,10,5T03itPFOPGGkvVPvPiyla,Put It All on Me (feat. Ella Mai),spotify:track:5T03itPFOPGGkvVPvPiyla,0.253,0.627,0.594,0.0,0.373,-8.306,0.0478,101.008,0.389,66
No.6 Collaborations Project,11,2qRN7PWiHRLprw4FpDeI9N,Nothing On You (feat. Paulo Londra & Dave),spotify:track:2qRN7PWiHRLprw4FpDeI9N,0.333,0.747,0.649,0.0,0.172,-6.218,0.219,88.011,0.84,69
No.6 Collaborations Project,12,3FHXUqaUer9o231Je1zxIN,I Don't Want Your Money (feat. H.E.R.),spotify:track:3FHXUqaUer9o231Je1zxIN,0.314,0.469,0.631,0.0,0.14,-6.569,0.0853,91.418,0.763,66
No.6 Collaborations Project,13,4vIKzWqtn44umal5jXq4wE,1000 Nights (feat. Meek Mill & A Boogie Wit da Hoodie),spotify:track:4vIKzWqtn44umal5jXq4wE,0.467,0.778,0.59,0.0,0.0902,-5.548,0.27,97.995,0.515,66
No.6 Collaborations Project,14,5d1rmWWF1725tnYjq6rMDB,Way To Break My Heart (feat. Skrillex),spotify:track:5d1rmWWF1725tnYjq6rMDB,0.11,0.726,0.731,3.21e-06,0.0928,-6.304,0.159,170.125,0.43,61
No.6 Collaborations Project,15,7hvO2qCwJVZxiyoA7c9i5d,BLOW (with Chris Stapleton & Bruno Mars),spotify:track:7hvO2qCwJVZxiyoA7c9i5d,0.000245,0.631,0.796,0.0115,0.38,-5.35,0.0401,92.469,0.596,64
÷ (Deluxe),1,7oolFzHipTMg2nL7shhdz2,Eraser,spotify:track:7oolFzHipTMg2nL7shhdz2,0.086,0.64,0.812,0.0,0.0509,-5.647,0.0834,86.013,0.914,64
÷ (Deluxe),2,6PCUP3dWmTjcTtXY02oFdT,Castle on the Hill,spotify:track:6PCUP3dWmTjcTtXY02oFdT,0.0232,0.461,0.834,1.14e-05,0.14,-4.868,0.0989,135.007,0.471,78
÷ (Deluxe),3,51ChrwmUPDJvedPQnIU8Ls,Dive,spotify:track:51ChrwmUPDJvedPQnIU8Ls,0.355,0.761,0.386,0.0,0.0953,-6.158,0.0399,134.943,0.526,75
÷ (Deluxe),4,7qiZfU4dY1lWllzX7mPBI3,Shape of You,spotify:track:7qiZfU4dY1lWllzX7mPBI3,0.581,0.825,0.652,0.0,0.0931,-3.183,0.0802,95.977,0.931,85
÷ (Deluxe),5,0tgVpDi06FyKpA1z0VMD4v,Perfect,spotify:track:0tgVpDi06FyKpA1z0VMD4v,0.163,0.599,0.448,0.0,0.106,-6.312,0.0232,95.05,0.168,86
÷ (Deluxe),6,0afhq8XCExXpqazXczTSve,Galway Girl,spotify:track:0afhq8XCExXpqazXczTSve,0.0735,0.624,0.876,0.0,0.327,-3.374,0.1,99.943,0.781,79
÷ (Deluxe),7,2RttW7RAu5nOAfq6YFvApB,Happier,spotify:track:2RttW7RAu5nOAfq6YFvApB,0.536,0.522,0.385,0.0,0.135,-7.355,0.0288,89.792,0.236,82
÷ (Deluxe),8,5HDPtsnyb3maFmPL8LLUTG,New Man,spotify:track:5HDPtsnyb3maFmPL8LLUTG,0.0559,0.78,0.745,0.0,0.0595,-3.97,0.145,94.026,0.862,68
÷ (Deluxe),9,2dfHh7ECGxfNqZTQno09Vk,Hearts Don't Break Around Here,spotify:track:2dfHh7ECGxfNqZTQno09Vk,0.719,0.604,0.366,0.0,0.162,-7.881,0.0267,105.177,0.181,68
÷ (Deluxe),10,2pJZ1v8HezrAoZ0Fhzby92,What Do I Know?,spotify:track:2pJZ1v8HezrAoZ0Fhzby92,0.251,0.838,0.492,0.0,0.262,-5.69,0.038,115.092,0.895,70
÷ (Deluxe),11,6PJ8FF6UR8FZXfEvpHkIVN,How Would You Feel (Paean),spotify:track:6PJ8FF6UR8FZXfEvpHkIVN,0.424,0.617,0.439,0.0,0.127,-5.63,0.0269,139.979,0.242,69
÷ (Deluxe),12,4VuS959DSpr82t3qBqCrWG,Supermarket Flowers,spotify:track:4VuS959DSpr82t3qBqCrWG,0.914,0.589,0.242,0.0,0.0887,-10.517,0.0442,89.749,0.257,77
÷ (Deluxe),13,3Lfiu5sZ4M4B6JaKMBc0FU,Barcelona,spotify:track:3Lfiu5sZ4M4B6JaKMBc0FU,0.448,0.747,0.76,0.0,0.153,-4.294,0.187,99.975,0.682,68
÷ (Deluxe),14,6SznMYPQJHzr3IwsAHLId2,Bibia Be Ye Ye,spotify:track:6SznMYPQJHzr3IwsAHLId2,0.52,0.738,0.677,0.0,0.133,-5.121,0.0824,127.067,0.882,66
÷ (Deluxe),15,35QZaWQRkmnAVqBF1TLCxQ,Nancy Mulligan,spotify:track:35QZaWQRkmnAVqBF1TLCxQ,0.117,0.68,0.852,0.0,0.0866,-4.35,0.0349,101.993,0.858,67
÷ (Deluxe),16,6TIU9Ehmi6dMzZK73Ym4yj,Save Myself,spotify:track:6TIU9Ehmi6dMzZK73Ym4yj,0.85,0.552,0.29,0.0,0.227,-5.617,0.0448,78.842,0.481,68
x (Wembley Edition),17,3B8BedGdUGT1Ixog6v8ua8,English Rose,spotify:track:3B8BedGdUGT1Ixog6v8ua8,0.0977,0.579,0.649,0.0,0.125,-6.522,0.0352,114.593,0.184,47
x (Wembley Edition),18,4w098dhR8GON00jYL1vCv4,Touch and Go,spotify:track:4w098dhR8GON00jYL1vCv4,0.294,0.812,0.542,6.92e-05,0.141,-5.403,0.0444,110.268,0.733,58
x (Wembley Edition),19,5FBaWYaoA8j260ctveOa4a,New York,spotify:track:5FBaWYaoA8j260ctveOa4a,0.707,0.728,0.461,0.0,0.113,-8.726,0.0395,86.014,0.474,49
