album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
GINGER,1,694vvR5o19xHPhhJ5QdLN7,NO HALO,spotify:track:694vvR5o19xHPhhJ5QdLN7,0.41,0.643,0.573,0.00017,0.0695,-7.034,0.0709,165.192,0.47,71
GINGER,2,6U0FIYXCQ3TGrk4tFpLrEA,SUGAR,spotify:track:6U0FIYXCQ3TGrk4tFpLrEA,0.449,0.453,0.538,0.0,0.19,-8.212,0.0638,122.973,0.516,84
GINGER,3,6e7hIhOLH9zvb3zP5O5gt0,BOY BYE,spotify:track:6e7hIhOLH9zvb3zP5O5gt0,0.512,0.869,0.747,0.0,0.124,-7.143,0.151,124.932,0.784,69
GINGER,4,5SecO8b3bvFNBTtrTyt91o,HEAVEN BELONGS TO YOU,spotify:track:5SecO8b3bvFNBTtrTyt91o,0.0208,0.68,0.634,2.02e-06,0.479,-8.446,0.36,155.911,0.693,58
GINGER,5,3wE9jU1zReHLMHLgAsWIYX,ST. PERCY,spotify:track:3wE9jU1zReHLMHLgAsWIYX,0.367,0.611,0.635,0.00568,0.068,-7.016,0.31,82.087,0.739,61
GINGER,6,56IGGA6VwAbIni6KoN7VC5,IF YOU PRAY RIGHT,spotify:track:56IGGA6VwAbIni6KoN7VC5,0.399,0.471,0.496,0.00083,0.378,-9.983,0.199,160.093,0.569,60
GINGER,7,7HuaFNJNNgLmk1WTSigmhi,DEARLY DEPARTED,spotify:track:7HuaFNJNNgLmk1WTSigmhi,0.13,0.318,0.766,0.166,0.34,-6.302,0.0412,128.378,0.195,56
GINGER,8,7frG49GBDHPPvxXRVLRwle,I BEEN BORN AGAIN,spotify:track:7frG49GBDHPPvxXRVLRwle,0.318,0.771,0.636,6e-05,0.0647,-5.131,0.229,79.832,0.451,57
GINGER,9,1Uo7reO6I2yQ1q36ZPuNf7,GINGER,spotify:track:1Uo7reO6I2yQ1q36ZPuNf7,0.249,0.748,0.715,0.0369,0.164,-5.137,0.0451,130.087,0.226,63
GINGER,10,2YaNOzEvmqOXzAsMNHjD6B,BIG BOY,spotify:track:2YaNOzEvmqOXzAsMNHjD6B,0.462,0.682,0.547,9.13e-05,0.167,-7.9,0.0633,99.975,0.114,54
