album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
A Matter of Trust - The Bridge to Russia: The Music (Live),1,3pXiNETOltmt2I66SiwLV0,Odoya,spotify:track:3pXiNETOltmt2I66SiwLV0,0.992,0.351,0.345,0.0,0.0569,-14.094,0.0437,116.999,0.171,33
A Matter of Trust - The Bridge to Russia: The Music (Live),2,7dfz7gkRWhAtvHlTETo5hB,"Prelude / Angry Young Man - Live in Moscow & Leningrad, Russia - July/August 1987",spotify:track:7dfz7gkRWhAtvHlTETo5hB,0.182,0.395,0.919,0.00236,0.715,-4.394,0.0901,97.877,0.397,33
A Matter of Trust - The Bridge to Russia: The Music (Live),3,1bYS7SF60gdZr7hUT1Jz4r,"Honesty - Live in Moscow & Leningrad, Russia - July/August 1987",spotify:track:1bYS7SF60gdZr7hUT1Jz4r,0.688,0.45,0.452,0.0,0.198,-9.805,0.0677,143.648,0.34,33
A Matter of Trust - The Bridge to Russia: The Music (Live),4,5tzPsIM59tgAfUvHYjsKnP,"The Ballad of Billy the Kid - Live in Moscow & Leningrad, Russia - July/August 1987",spotify:track:5tzPsIM59tgAfUvHYjsKnP,0.141,0.403,0.768,0.000156,0.891,-6.865,0.0885,89.01,0.301,31
A Matter of Trust - The Bridge to Russia: The Music (Live),5,3KVdMDldNCz2UwJWRRVZWc,"She's Always A Woman - Live in Moscow & Leningrad, Russia - July/August 1987",spotify:track:3KVdMDldNCz2UwJWRRVZWc,0.733,0.321,0.305,0.0,0.405,-11.277,0.0346,109.51,0.345,31
A Matter of Trust - The Bridge to Russia: The Music (Live),6,2Hx3F79YIcBsZGYQDlJO21,"Scenes from an Italian Restaurant - Live in Moscow & Leningrad, Russia - July/August 1987",spotify:track:2Hx3F79YIcBsZGYQDlJO21,0.0954,0.376,0.872,0.0,0.948,-6.094,0.145,102.433,0.309,30
A Matter of Trust - The Bridge to Russia: The Music (Live),7,2RtucvU2NKmOCT2ut6nlTE,"Goodnight Saigon - Live in Moscow & Leningrad, Russia - July/August 1987",spotify:track:2RtucvU2NKmOCT2ut6nlTE,0.358,0.408,0.648,0.0,0.451,-6.246,0.0453,119.755,0.23,29
A Matter of Trust - The Bridge to Russia: The Music (Live),8,5PQYpCtSvA5AgGhx6C1KeO,"Stiletto - Live in Moscow & Leningrad, Russia - July/August 1987",spotify:track:5PQYpCtSvA5AgGhx6C1KeO,0.0108,0.447,0.887,0.00131,0.963,-5.749,0.0511,94.841,0.4,27
A Matter of Trust - The Bridge to Russia: The Music (Live),9,5Tu0B5xqs8rXuXJpnDanZz,"Big Man on Mulberry Street - Live in Moscow & Leningrad, Russia - July/August 1987",spotify:track:5Tu0B5xqs8rXuXJpnDanZz,0.0584,0.496,0.841,1.91e-06,0.177,-5.663,0.0929,118.022,0.506,27
A Matter of Trust - The Bridge to Russia: The Music (Live),10,4o9VttHs7idmHQm9DhtXxR,"Baby Grand - Live in Moscow & Leningrad, Russia - July/August 1987",spotify:track:4o9VttHs7idmHQm9DhtXxR,0.357,0.491,0.509,9.69e-06,0.847,-8.732,0.0452,89.428,0.161,25
A Matter of Trust - The Bridge to Russia: The Music (Live),11,100JiscJNJEtAAlWDxzzok,"What's Your Name - Live in Moscow & Leningrad, Russia - July/August 1987",spotify:track:100JiscJNJEtAAlWDxzzok,0.725,0.53,0.383,0.0,0.484,-10.571,0.473,93.697,0.276,25
A Matter of Trust - The Bridge to Russia: The Music (Live),12,7tYSqO9vGDMaqR07OGX5jB,"The Longest Time - Live in Moscow & Leningrad, Russia - July/August 1987",spotify:track:7tYSqO9vGDMaqR07OGX5jB,0.73,0.451,0.56,0.0,0.766,-8.387,0.0475,93.017,0.375,26
A Matter of Trust - The Bridge to Russia: The Music (Live),13,3vkuqDPSYqJvhPEEr4wR52,"An Innocent Man - Live in Moscow & Leningrad, Russia - July/August 1987",spotify:track:3vkuqDPSYqJvhPEEr4wR52,0.0593,0.568,0.549,0.0,0.788,-6.521,0.026,105.363,0.517,24
A Matter of Trust - The Bridge to Russia: The Music (Live),1,4wQaeOocGYb8DpNl7E461E,"Pressure - Live in Moscow & Leningrad, Russia - July/August 1987",spotify:track:4wQaeOocGYb8DpNl7E461E,0.00144,0.443,0.84,0.00886,0.46,-6.085,0.0522,162.466,0.45,25
A Matter of Trust - The Bridge to Russia: The Music (Live),2,1rrFsLb9I65WPhy8naSuvm,"Allentown - Live in Moscow & Leningrad, Russia - July/August 1987",spotify:track:1rrFsLb9I65WPhy8naSuvm,0.017,0.591,0.949,0.00613,0.95,-4.298,0.0351,115.581,0.873,25
