album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
24K Magic,1,6b8Be6ljOzmkOmFslEb23P,24K Magic,spotify:track:6b8Be6ljOzmkOmFslEb23P,0.034,0.818,0.803,0.0,0.153,-4.282,0.0797,106.97,0.632,77
24K Magic,2,0mBKv9DkYfQHjdMcw2jdyI,Chunky,spotify:track:0mBKv9DkYfQHjdMcw2jdyI,0.0208,0.571,0.539,0.0,0.125,-4.446,0.116,202.103,0.727,69
24K Magic,3,1I6pKIyaBp4OebTGLJpCCC,Perm,spotify:track:1I6pKIyaBp4OebTGLJpCCC,0.0145,0.853,0.871,6.84e-05,0.198,-3.715,0.0851,124.021,0.863,66
24K Magic,4,0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,spotify:track:0KKkJNfGyhkQ5aFogxQAPU,0.013,0.853,0.56,0.0,0.0944,-4.961,0.0406,134.066,0.86,81
24K Magic,5,0kN8xEmgMW9mh7UmDYHlJP,Versace on the Floor,spotify:track:0kN8xEmgMW9mh7UmDYHlJP,0.196,0.578,0.574,0.0,0.083,-6.209,0.0454,174.152,0.301,74
24K Magic,6,2mrZYZGmPFV3QOyYPZ1zsn,Straight up & Down,spotify:track:2mrZYZGmPFV3QOyYPZ1zsn,0.0209,0.552,0.733,0.0,0.0858,-6.898,0.0933,143.56,0.643,64
24K Magic,7,6ObpR8ek44tvWefQRcSo8K,Calling All My Lovelies,spotify:track:6ObpR8ek44tvWefQRcSo8K,0.0392,0.662,0.705,2.38e-06,0.105,-6.56,0.0399,159.996,0.865,63
24K Magic,8,5XMkENs3GfeRza8MfVAhjK,Finesse,spotify:track:5XMkENs3GfeRza8MfVAhjK,0.00781,0.741,0.798,0.0,0.0232,-5.342,0.0718,104.953,0.939,67
24K Magic,9,0B0tYbVp7pDQAqKDhgMeaL,Too Good to Say Goodbye,spotify:track:0B0tYbVp7pDQAqKDhgMeaL,0.0389,0.587,0.63,0.0,0.35,-6.054,0.0311,76.97,0.433,65
Unorthodox Jukebox (Deluxe Edition),11,3zRfP7U300ogttIfwqB5HD,Old & Crazy (feat. Esperanza Spalding),spotify:track:3zRfP7U300ogttIfwqB5HD,0.443,0.566,0.43,0.00047,0.206,-10.464,0.278,187.766,0.828,21
