album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
Iluminatti,1,1fVN4Cv3vJ3KOXd6VY5o9U,Era Necesario,spotify:track:1fVN4Cv3vJ3KOXd6VY5o9U,0.195,0.774,0.931,0.0,0.0793,-2.48,0.0512,92.026,0.744,51
Iluminatti,2,4MEhpZib6vCBCUhQfgF5fR,Deja Tus Besos,spotify:track:4MEhpZib6vCBCUhQfgF5fR,0.327,0.759,0.648,0.0,0.0884,-3.955,0.0854,167.825,0.948,54
Iluminatti,3,3nd5T9R83RsqZO6O9wuQnb,Obsesion,spotify:track:3nd5T9R83RsqZO6O9wuQnb,0.0308,0.719,0.826,0.0,0.355,-5.461,0.0509,129.943,0.335,49
Iluminatti,4,1SecZZ1PFDam8uCsoQ7BnO,Pa' Mala Yo,spotify:track:1SecZZ1PFDam8uCsoQ7BnO,0.415,0.821,0.775,7.78e-06,0.0673,-2.9,0.0604,101.995,0.401,51
Iluminatti,5,2jOhhdNkBc94SfAcrg5Z28,Oh Daddy,spotify:track:2jOhhdNkBc94SfAcrg5Z28,0.0871,0.754,0.734,0.0,0.0837,-4.933,0.0532,97.997,0.842,64
Iluminatti,6,5anRovfNkeo83bshruaWX9,Soy Mia,spotify:track:5anRovfNkeo83bshruaWX9,0.281,0.757,0.838,0.0,0.331,-3.579,0.0285,140.008,0.916,60
Iluminatti,7,1N3rf6ZFzb8NPYeLCmgzj7,Me Gusta,spotify:track:1N3rf6ZFzb8NPYeLCmgzj7,0.0832,0.851,0.688,0.0137,0.0758,-3.992,0.0482,96.025,0.708,65
Iluminatti,8,15lv5C32D7jL9GsvYKjqIV,No Voy a Llorar,spotify:track:15lv5C32D7jL9GsvYKjqIV,0.0659,0.664,0.73,0.0,0.073,-4.236,0.034,84.007,0.67,54
Iluminatti,9,1kXHxzxshJHE19SVepP21q,Toca Toca,spotify:track:1kXHxzxshJHE19SVepP21q,0.174,0.769,0.828,3e-05,0.0924,-3.273,0.0887,167.957,0.934,48
Iluminatti,10,5znrnIpadxb5MLvm3HjdOg,Independiente,spotify:track:5znrnIpadxb5MLvm3HjdOg,0.342,0.723,0.863,0.0,0.18,-4.15,0.031,147.059,0.773,48
Iluminatti,11,1c47gRjNPik1Y9u9m4ZssL,Lamento Tu Perdida,spotify:track:1c47gRjNPik1Y9u9m4ZssL,0.198,0.743,0.81,0.0,0.0563,-3.44,0.0807,95.045,0.55,43
Iluminatti,12,12lkzBhUysiCPRIKrFLtVQ,Te Lo Dije,spotify:track:12lkzBhUysiCPRIKrFLtVQ,0.0461,0.675,0.604,0.0,0.134,-4.336,0.071,179.847,0.688,54
Iluminatti,13,2sBFaHiklVzIds5jAkw1WK,Ya Lo Se,spotify:track:2sBFaHiklVzIds5jAkw1WK,0.103,0.801,0.799,0.0,0.307,-3.261,0.0432,124.98,0.434,45
Iluminatti,14,4vOWNHRx4FGlQhs0pyxgJl,Quien Sabe,spotify:track:4vOWNHRx4FGlQhs0pyxgJl,0.356,0.713,0.817,4.19e-05,0.0877,-2.898,0.0274,127.933,0.758,58
Iluminatti,15,6E9t931KWV83mz31A0TRgL,Devorame,spotify:track:6E9t931KWV83mz31A0TRgL,0.261,0.479,0.718,1.43e-06,0.0889,-3.333,0.107,90.032,0.499,45
Iluminatti,16,0TKD15GPvflAICDg2vfwKT,La Mejor Version de Mi,spotify:track:0TKD15GPvflAICDg2vfwKT,0.707,0.513,0.429,0.0,0.0956,-5.856,0.0384,132.328,0.355,66
Iluminatti,17,5EOsvS6S9EZ4M1fxrG5Zuz,Oh Daddy - Spanglish Version,spotify:track:5EOsvS6S9EZ4M1fxrG5Zuz,0.0672,0.51,0.771,0.0,0.3,-4.919,0.115,97.982,0.874,44
All About Me,1,1ZEwlkMVt0vcFYzOxAwtwu,About Me (feat. Nova),spotify:track:1ZEwlkMVt0vcFYzOxAwtwu,0.000187,0.665,0.891,0.425,0.656,-4.371,0.0518,133.973,0.673,38
All About Me,2,78QQ67VmGNMLBSDjk3pVUf,Cinderella (feat. Chika),spotify:track:78QQ67VmGNMLBSDjk3pVUf,2.13e-05,0.676,0.888,0.102,0.561,-4.283,0.0619,135.035,0.351,38
All About Me,3,2LfpKw3wYFVKHahBU8ajcK,Gone (feat. Chika),spotify:track:2LfpKw3wYFVKHahBU8ajcK,0.105,0.735,0.966,0.0103,0.317,-4.574,0.0504,122.048,0.632,38
All About Me,4,63Hf7nmtwEfM1qSmX7HefP,New Day,spotify:track:63Hf7nmtwEfM1qSmX7HefP,0.0117,0.753,0.722,0.00499,0.124,-5.537,0.0457,120.021,0.622,26
All About Me,5,5X7AFA7B9RVg0IrqARIrWW,Pain Killer (feat. Chika),spotify:track:5X7AFA7B9RVg0IrqARIrWW,0.000617,0.726,0.815,0.0,0.256,-5.779,0.0459,124.905,0.425,38
All About Me,6,0LIdM0UBkL1T6xoU69XC2Q,Show Off,spotify:track:0LIdM0UBkL1T6xoU69XC2Q,0.0028,0.765,0.989,0.757,0.0505,-5.142,0.0783,139.999,0.118,26
All About Me,7,182BlhFP97255ZadBBdvlE,Train to No Where,spotify:track:182BlhFP97255ZadBBdvlE,0.00157,0.663,0.941,0.018,0.38,-5.877,0.037,126.009,0.401,38
