album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
Believers Never Die (Volume Two),11,6ulUsbo0byNEgHHloz55Rp,I've Been Waiting,spotify:track:6ulUsbo0byNEgHHloz55Rp,0.156,0.743,0.85,0.0,0.163,-3.568,0.0399,129.926,0.942,0
Believers Never Die (Volume Two),12,1tm4Bl2E5RwTevOiBs4gtH,Dear Future Self (Hands Up),spotify:track:1tm4Bl2E5RwTevOiBs4gtH,0.0032,0.535,0.925,0.000359,0.0316,-3.012,0.239,169.901,0.949,60
Believers Never Die (Volume Two),13,3liDoBAc3NGI8tmWUTOAed,Bob Dylan,spotify:track:3liDoBAc3NGI8tmWUTOAed,0.000353,0.494,0.915,0.0491,0.352,-3.623,0.0484,100.08,0.522,58
MANIA,1,0hfByzDRgR10HDLqm89lA9,Stay Frosty Royal Milk Tea,spotify:track:0hfByzDRgR10HDLqm89lA9,0.000616,0.461,0.869,8.19e-06,0.25,-4.672,0.0731,145.919,0.649,58
MANIA,3,0Q9vbV7G2Q6lts13nY9YGP,HOLD ME TIGHT OR DON’T,spotify:track:0Q9vbV7G2Q6lts13nY9YGP,0.00699,0.582,0.925,2.9e-06,0.108,-4.366,0.0523,95.987,0.788,61
MANIA,4,2W6kVW3UZ3hwr4qbfCDp6B,Wilson (Expensive Mistakes),spotify:track:2W6kVW3UZ3hwr4qbfCDp6B,0.0241,0.492,0.805,0.0,0.107,-4.372,0.0603,152.035,0.66,59
MANIA,5,0OUQhRKgGSb0PPrLUuEQka,Church,spotify:track:0OUQhRKgGSb0PPrLUuEQka,0.0014,0.37,0.901,0.0,0.25,-3.393,0.05,167.995,0.401,58
MANIA,6,4lN5YgMQNBANIKWSl6G54k,Heaven’s Gate,spotify:track:4lN5YgMQNBANIKWSl6G54k,0.0166,0.398,0.586,0.0,0.334,-4.975,0.0344,176.043,0.214,53
MANIA,7,1DRUwJSt2YOUUEz965OJ66,Champion,spotify:track:1DRUwJSt2YOUUEz965OJ66,0.000927,0.31,0.905,3.1e-05,0.431,-4.109,0.253,187.796,0.309,60
MANIA,8,0ZqqrBHeSeyZahfcyw9N8O,Sunshine Riptide,spotify:track:0ZqqrBHeSeyZahfcyw9N8O,0.00163,0.585,0.731,0.0,0.0462,-5.186,0.0376,133.981,0.804,54
MANIA,10,5lKI9qLSJkWWJ6USwMu6jF,Bishops Knife Trick,spotify:track:5lKI9qLSJkWWJ6USwMu6jF,0.0134,0.443,0.755,0.0,0.0903,-4.818,0.0357,139.852,0.383,51
MANIA,2,6e13443Ve7RGcAUScTgYtl,The Last Of The Real Ones,spotify:track:6e13443Ve7RGcAUScTgYtl,0.00599,0.576,0.872,0.0,0.188,-5.293,0.0471,115.042,0.559,63
MANIA,9,6XEPmHllDGDaO4w84Xjtgi,Young And Menace,spotify:track:6XEPmHllDGDaO4w84Xjtgi,0.112,0.646,0.833,0.000462,0.121,-5.134,0.057,108.003,0.278,55
Make America Psycho Again,12,63uj7uLdCmhuMtTb1A7hY2,Uma Thurman - Fall Out Boy vs. Didrick,spotify:track:63uj7uLdCmhuMtTb1A7hY2,0.0142,0.621,0.915,0.0167,0.1,-4.632,0.0519,150.006,0.715,5
