album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
BALLADS 1,1,5aqu5xhPqoOWqF71PkfgM8,ATTENTION,spotify:track:5aqu5xhPqoOWqF71PkfgM8,0.895,0.787,0.312,0.0224,0.115,-12.401,0.0383,119.899,0.425,71
BALLADS 1,2,0rKtyWc8bvkriBthvHKY8d,SLOW DANCING IN THE DARK,spotify:track:0rKtyWc8bvkriBthvHKY8d,0.544,0.515,0.479,0.00598,0.191,-7.458,0.0261,88.964,0.284,84
BALLADS 1,3,1DMEzmAoQIikcL52psptQL,TEST DRIVE,spotify:track:1DMEzmAoQIikcL52psptQL,0.71,0.646,0.648,0.00316,0.108,-8.602,0.0372,75.004,0.466,73
BALLADS 1,4,0Y9D1Bc4fAkeZnVsGKdij6,WANTED U,spotify:track:0Y9D1Bc4fAkeZnVsGKdij6,0.105,0.305,0.715,0.0495,0.0906,-7.54,0.0554,82.977,0.29,68
BALLADS 1,5,39oeKRgsLeynDIbWuXyA47,CAN'T GET OVER YOU (feat. Clams Casino),spotify:track:39oeKRgsLeynDIbWuXyA47,0.684,0.9,0.316,0.0771,0.0853,-8.797,0.332,129.914,0.844,75
BALLADS 1,6,1VGzxJnVQND7Cg5H5wGj14,YEAH RIGHT,spotify:track:1VGzxJnVQND7Cg5H5wGj14,0.619,0.672,0.588,0.241,0.0992,-9.573,0.133,169.033,0.204,80
BALLADS 1,7,1X8YgRhzbdXb1vZNLUTn9g,WHY AM I STILL IN LA (feat. Shlohmo & D33J),spotify:track:1X8YgRhzbdXb1vZNLUTn9g,0.719,0.44,0.242,0.834,0.11,-12.307,0.0316,124.968,0.0446,64
BALLADS 1,8,4sbtM9ORGwmxGkXfctXbJq,NO FUN,spotify:track:4sbtM9ORGwmxGkXfctXbJq,0.8,0.809,0.483,0.0,0.221,-6.886,0.0487,96.974,0.715,72
BALLADS 1,9,48x8fBWfyeSMzLl5gbsjr9,COME THRU,spotify:track:48x8fBWfyeSMzLl5gbsjr9,0.163,0.66,0.596,0.86,0.109,-8.207,0.0358,77.026,0.0757,65
BALLADS 1,10,4wJ8dJKBAxdDe5cUx8K779,R.I.P. (feat. Trippie Redd),spotify:track:4wJ8dJKBAxdDe5cUx8K779,0.618,0.716,0.515,0.257,0.136,-9.651,0.0305,99.284,0.383,68
BALLADS 1,11,0qpSvzE0Rws3gVZNZCf04v,XNXX,spotify:track:0qpSvzE0Rws3gVZNZCf04v,0.257,0.388,0.52,0.185,0.113,-8.354,0.0593,84.851,0.196,65
BALLADS 1,12,606F3qdYCXtDVtKN53YsuW,I'LL SEE YOU IN 40,spotify:track:606F3qdYCXtDVtKN53YsuW,0.347,0.411,0.377,0.765,0.222,-9.553,0.0296,139.881,0.0321,64
In Tongues (Deluxe),1,7wvwXi9Z66dcH5t202vVkN,Will He,spotify:track:7wvwXi9Z66dcH5t202vVkN,0.836,0.618,0.217,0.000163,0.538,-15.372,0.0515,116.014,0.0872,73
In Tongues (Deluxe),2,5xwKCPdE3kyU0XwqfbyQsx,Pills,spotify:track:5xwKCPdE3kyU0XwqfbyQsx,0.582,0.454,0.407,0.774,0.117,-10.733,0.0739,81.401,0.242,62
In Tongues (Deluxe),3,77UXyXy6qie0sOtLdEIH4A,Demons,spotify:track:77UXyXy6qie0sOtLdEIH4A,0.416,0.458,0.378,0.0919,0.0966,-11.354,0.15,168.232,0.037,68
In Tongues (Deluxe),4,6dqiwfvxb1AM5y1vyVwaa0,Window,spotify:track:6dqiwfvxb1AM5y1vyVwaa0,0.425,0.643,0.329,0.665,0.0958,-12.598,0.0898,156.959,0.202,63
In Tongues (Deluxe),5,7tmZ21lno9WK3K4Sezt6qj,Bitter Fuck,spotify:track:7tmZ21lno9WK3K4Sezt6qj,0.426,0.803,0.338,0.00503,0.117,-9.397,0.0415,119.989,0.0723,59
In Tongues (Deluxe),6,0baNzeUcPQnQSagpe8T0mD,worldstar money (interlude),spotify:track:0baNzeUcPQnQSagpe8T0mD,0.964,0.577,0.387,0.705,0.208,-8.607,0.274,146.565,0.459,62
In Tongues (Deluxe),7,4tAroWdVxOsx5teIaZqEHm,Plastic Taste,spotify:track:4tAroWdVxOsx5teIaZqEHm,0.987,0.33,0.16,0.93,0.21,-11.647,0.0332,131.222,0.122,61
In Tongues (Deluxe),8,72Qo3U5apeuv91j9BEqJBM,I Don't Wanna Waste My Time,spotify:track:72Qo3U5apeuv91j9BEqJBM,0.761,0.403,0.234,0.0618,0.123,-17.865,0.0531,144.226,0.13,65
In Tongues (Deluxe),9,4bOr88BuLILM22g8FKQWrG,Will He (Medasin Remix),spotify:track:4bOr88BuLILM22g8FKQWrG,0.545,0.686,0.539,0.000564,0.14,-9.408,0.092,123.929,0.36,54
