album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
Death Race For Love,1,41MCdlvXOl62B7Kv86Bb1v,Empty,spotify:track:41MCdlvXOl62B7Kv86Bb1v,0.0758,0.745,0.561,0.0,0.133,-4.869,0.0807,77.557,0.449,78
Death Race For Love,2,4mUIe9gfsdtsVP2zFIl74x,Maze,spotify:track:4mUIe9gfsdtsVP2zFIl74x,0.126,0.674,0.726,1.56e-06,0.115,-3.813,0.141,160.067,0.443,74
Death Race For Love,3,6phY2gnvf9WwCiXlLMQOY3,HeMotions,spotify:track:6phY2gnvf9WwCiXlLMQOY3,0.667,0.561,0.76,0.0,0.106,-7.194,0.264,163.938,0.317,69
Death Race For Love,4,5ZOEulH7fvK4ZkMLTOyKL0,Demonz (feat. Brent Faiyaz) - Interlude,spotify:track:5ZOEulH7fvK4ZkMLTOyKL0,0.268,0.502,0.309,0.279,0.127,-11.389,0.0601,169.522,0.18,65
Death Race For Love,5,6MjNilJCVKJq0LfFvo5jWJ,Fast,spotify:track:6MjNilJCVKJq0LfFvo5jWJ,0.426,0.623,0.608,0.0,0.105,-5.937,0.0434,84.98,0.263,78
Death Race For Love,6,13ZyrkCDmRz5xY3seuAWYk,Hear Me Calling,spotify:track:13ZyrkCDmRz5xY3seuAWYk,0.308,0.699,0.687,3.63e-05,0.121,-3.997,0.106,88.932,0.499,77
Death Race For Love,7,4rWC4tiO4NCwRHdh6vyu6b,Big,spotify:track:4rWC4tiO4NCwRHdh6vyu6b,0.0628,0.768,0.641,0.0,0.0912,-6.197,0.114,144.963,0.231,65
Death Race For Love,8,6Hj9jySrnFppAI0sEMCZpJ,Robbery,spotify:track:6Hj9jySrnFppAI0sEMCZpJ,0.328,0.685,0.692,0.0,0.153,-5.122,0.0457,159.966,0.578,86
Death Race For Love,9,2BSbCCbaSCzkOEZa6N5901,Flaws And Sins,spotify:track:2BSbCCbaSCzkOEZa6N5901,0.00966,0.709,0.662,0.0,0.108,-4.55,0.0766,150.046,0.439,72
Death Race For Love,10,2Jh3UqxnHJMyzMzku4uOtE,Feeling,spotify:track:2Jh3UqxnHJMyzMzku4uOtE,0.234,0.712,0.515,0.0,0.205,-6.004,0.0857,160.0,0.563,76
Death Race For Love,11,4dOmgE4ULbySxpeGObN8RL,Syphilis,spotify:track:4dOmgE4ULbySxpeGObN8RL,0.0696,0.782,0.659,0.0,0.168,-3.103,0.248,148.03,0.336,65
Death Race For Love,12,06LFFPPS7MylCZXps3cO4m,Who Shot Cupid?,spotify:track:06LFFPPS7MylCZXps3cO4m,0.0558,0.758,0.932,0.0,0.097,-2.809,0.0372,125.993,0.592,70
Death Race For Love,13,4zxpssj8DyrfZcEUSUiNxG,Ring Ring (with Rvssian feat. Clever),spotify:track:4zxpssj8DyrfZcEUSUiNxG,0.0768,0.581,0.673,0.0,0.4,-4.421,0.0549,160.073,0.621,70
Death Race For Love,14,15LOSQ3z91ZB2wMiMhiCjZ,Desire,spotify:track:15LOSQ3z91ZB2wMiMhiCjZ,0.106,0.597,0.767,0.0,0.107,-4.713,0.0481,148.009,0.205,66
Death Race For Love,15,0baYVkFX4vIXXmIuHRWXDN,Out My Way,spotify:track:0baYVkFX4vIXXmIuHRWXDN,0.107,0.664,0.832,0.0,0.776,-3.166,0.34,164.144,0.498,65
Death Race For Love,16,6LkawpJyy0TZJ6Z41gMVyy,The Bees Knees,spotify:track:6LkawpJyy0TZJ6Z41gMVyy,0.125,0.427,0.724,0.0,0.749,-4.751,0.0844,140.029,0.289,66
Death Race For Love,17,572BChNcXOIvtfn2TGmTKc,ON GOD (feat. Young Thug),spotify:track:572BChNcXOIvtfn2TGmTKc,0.0925,0.797,0.722,0.0,0.112,-6.23,0.0601,145.99,0.338,66
Death Race For Love,18,4Z9cAwlkruSbWblPBthygg,10 Feet,spotify:track:4Z9cAwlkruSbWblPBthygg,0.466,0.678,0.681,0.000657,0.263,-7.698,0.183,104.014,0.525,66
Death Race For Love,19,4yoQbSPoj8H3O8M3EKvC74,Won’t Let Go,spotify:track:4yoQbSPoj8H3O8M3EKvC74,0.0563,0.617,0.791,0.0,0.233,-4.292,0.0519,150.061,0.653,65
Death Race For Love,20,3zM2prB16NRn1zggh1KCY0,She’s The One,spotify:track:3zM2prB16NRn1zggh1KCY0,0.308,0.621,0.804,0.0,0.297,-5.502,0.225,155.984,0.396,64
Death Race For Love,21,3usM520kfIRpWNaYOwdnYI,Rider,spotify:track:3usM520kfIRpWNaYOwdnYI,0.214,0.583,0.815,0.0,0.413,-4.257,0.0365,140.031,0.451,66
Death Race For Love,22,6eiztdXRkooWsBt2xToMWI,Make Believe,spotify:track:6eiztdXRkooWsBt2xToMWI,0.125,0.465,0.84,0.0,0.138,-4.35,0.0722,83.981,0.672,73
Goodbye & Good Riddance,1,7LoWAhcGbxSkT6trTqXQR6,Intro,spotify:track:7LoWAhcGbxSkT6trTqXQR6,0.93,0.558,0.384,6.79e-05,0.604,-13.644,0.143,75.956,0.829,61
Goodbye & Good Riddance,2,4VXIryQMWpIdGgYR4TrjT1,All Girls Are The Same,spotify:track:4VXIryQMWpIdGgYR4TrjT1,0.0769,0.671,0.529,0.000335,0.0856,-7.226,0.307,161.989,0.203,84
Goodbye & Good Riddance,3,285pBltuF7vW8TeWk8hdRR,Lucid Dreams,spotify:track:285pBltuF7vW8TeWk8hdRR,0.349,0.511,0.566,0.0,0.34,-7.23,0.2,83.903,0.218,89
Goodbye & Good Riddance,4,1a7WZZZH7LzyvorhpOJFTe,Wasted (feat. Lil Uzi Vert),spotify:track:1a7WZZZH7LzyvorhpOJFTe,0.0381,0.742,0.579,0.0,0.0952,-5.024,0.202,144.994,0.502,77
Goodbye & Good Riddance,5,5wujBwqG7INdStqGd4tRMX,Armed And Dangerous,spotify:track:5wujBwqG7INdStqGd4tRMX,0.186,0.736,0.67,0.0,0.114,-6.702,0.311,130.032,0.845,81
Goodbye & Good Riddance,6,1fCeXjoRExPP2qwSBh2aST,Black & White,spotify:track:1fCeXjoRExPP2qwSBh2aST,0.0802,0.776,0.736,0.0,0.159,-4.612,0.247,147.946,0.233,78
Goodbye & Good Riddance,7,3oDkdAySo1VQQG0ptV7uwa,Lean Wit Me,spotify:track:3oDkdAySo1VQQG0ptV7uwa,0.0414,0.665,0.651,0.0,0.0896,-5.515,0.156,163.935,0.237,81
Goodbye & Good Riddance,8,0INehbMZOFPnaPBAjK97i3,I'll Be Fine,spotify:track:0INehbMZOFPnaPBAjK97i3,0.000616,0.523,0.678,0.0,0.142,-6.071,0.0692,159.909,0.277,73
Goodbye & Good Riddance,9,0WZFN4E8HrmGUU0EMyKQ8c,Used To,spotify:track:0WZFN4E8HrmGUU0EMyKQ8c,0.0963,0.631,0.709,0.0,0.376,-4.666,0.0505,84.504,0.2,72
Goodbye & Good Riddance,10,1wa6QQsdSE3X2GbRljGpFk,Candles,spotify:track:1wa6QQsdSE3X2GbRljGpFk,0.373,0.715,0.574,0.0,0.174,-6.236,0.0817,157.0,0.337,73
Goodbye & Good Riddance,11,49QVOdWgGagzLrThkIqtK6,Scared Of Love,spotify:track:49QVOdWgGagzLrThkIqtK6,0.032,0.642,0.562,0.0,0.168,-4.869,0.0812,158.001,0.177,73
Goodbye & Good Riddance,12,3XRQT7EoS4U87rUuJwg5P3,Hurt Me,spotify:track:3XRQT7EoS4U87rUuJwg5P3,0.128,0.62,0.451,0.0,0.373,-7.623,0.17,156.906,0.294,72
Goodbye & Good Riddance,13,19m3E0nMZobyA93AxMXC32,I'm Still,spotify:track:19m3E0nMZobyA93AxMXC32,0.0811,0.631,0.672,0.0,0.154,-4.583,0.0347,119.948,0.282,71
Goodbye & Good Riddance,14,24BNgrtp6Fag4M5BQPEgsV,End Of The Road,spotify:track:24BNgrtp6Fag4M5BQPEgsV,0.0568,0.373,0.717,0.0,0.114,-5.833,0.083,109.977,0.293,71
Goodbye & Good Riddance,15,17Cs25j5Ui6X6W4Hk1kAyC,Long Gone,spotify:track:17Cs25j5Ui6X6W4Hk1kAyC,0.208,0.794,0.459,7.17e-06,0.12,-7.404,0.0941,149.033,0.266,69
Goodbye & Good Riddance,16,1p7DC2sFe7aJdO1RZdO3tC,Betrayal - Skit,spotify:track:1p7DC2sFe7aJdO1RZdO3tC,0.786,0.637,0.476,4.27e-06,0.939,-18.382,0.544,91.872,0.262,60
Goodbye & Good Riddance,17,4TlZtoFcV9fKSxs3RVy9Td,Karma - Skit,spotify:track:4TlZtoFcV9fKSxs3RVy9Td,0.933,0.652,0.218,5.11e-05,0.591,-18.186,0.206,114.424,0.688,60
Future & Juice WRLD Present... WRLD ON DRUGS,1,2OsDoAzo5SGq10qwmKSQBv,Jet Lag (feat. Young Scooter),spotify:track:2OsDoAzo5SGq10qwmKSQBv,0.266,0.81,0.458,0.0,0.174,-7.495,0.105,125.049,0.493,65
Future & Juice WRLD Present... WRLD ON DRUGS,2,2vs5ubqg8QUbfyWZpMfvWe,Astronauts,spotify:track:2vs5ubqg8QUbfyWZpMfvWe,0.0402,0.732,0.586,2.66e-06,0.121,-7.868,0.232,76.48,0.73,63
Future & Juice WRLD Present... WRLD ON DRUGS,3,5274I4mUMnYczyeXkGDWZN,Fine China,spotify:track:5274I4mUMnYczyeXkGDWZN,0.0484,0.656,0.542,0.0,0.126,-7.358,0.323,166.111,0.551,78
Future & Juice WRLD Present... WRLD ON DRUGS,4,3fFBZvG777xoKyvcrBq7lc,Red Bentley (feat. Young Thug),spotify:track:3fFBZvG777xoKyvcrBq7lc,0.0301,0.903,0.609,1.61e-05,0.179,-7.555,0.237,149.991,0.268,60
Future & Juice WRLD Present... WRLD ON DRUGS,5,2EhJijFUs0WUmNClDBpYJq,Make It Back,spotify:track:2EhJijFUs0WUmNClDBpYJq,0.122,0.75,0.387,0.0,0.0993,-10.123,0.487,143.019,0.739,65
Future & Juice WRLD Present... WRLD ON DRUGS,6,0nWMTq3fBceV1uZlhFn6of,Oxy (feat. Lil Wayne),spotify:track:0nWMTq3fBceV1uZlhFn6of,0.00779,0.811,0.526,0.0642,0.13,-7.003,0.161,149.954,0.248,60
