album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
Sojoni,1,1h7sG08geUjaPvY2xs55by,Akash Jane Sagor Jane,spotify:track:1h7sG08geUjaPvY2xs55by,0.731,0.716,0.562,0.0018,0.142,-7.947,0.0313,100.022,0.93,9
Sojoni,2,2hB34tqf9mLDlwZ4izRRkZ,Bhalobhasa Bhalo Noy,spotify:track:2hB34tqf9mLDlwZ4izRRkZ,0.361,0.487,0.569,2.74e-06,0.0566,-12.423,0.0441,83.578,0.566,7
Sojoni,3,7uWesokuV0QNzGx4FUsu4Y,Dukho Ekhon Bandhu Amar,spotify:track:7uWesokuV0QNzGx4FUsu4Y,0.52,0.51,0.574,1.04e-05,0.0849,-10.302,0.0516,170.118,0.745,6
Sojoni,4,3SOpeDTxGHLLhpraxDEtNT,Ekhon Ekti Raat,spotify:track:3SOpeDTxGHLLhpraxDEtNT,0.195,0.599,0.556,4.35e-06,0.144,-11.634,0.0381,162.139,0.607,4
Sojoni,5,5ZmNx7RXB1SOQMiOxumqwI,Etota Kache Ashar Por,spotify:track:5ZmNx7RXB1SOQMiOxumqwI,0.228,0.574,0.56,0.0,0.132,-10.155,0.0357,87.998,0.563,3
Sojoni,6,5ZM1XSn2BAEoZfzjycJqeR,Majhkhane Ekti Deyal,spotify:track:5ZM1XSn2BAEoZfzjycJqeR,0.136,0.659,0.597,0.0,0.495,-11.264,0.0457,96.993,0.628,3
Sojoni,7,5R4pWRkBxf2RI4x9U7yHkA,Mone Koro Prithivite,spotify:track:5R4pWRkBxf2RI4x9U7yHkA,0.526,0.556,0.499,0.0,0.183,-10.55,0.0333,171.949,0.515,3
Sojoni,8,3Up5ofWmvAWctrLe81A2z4,Shilpir Jonnyo Gaan,spotify:track:3Up5ofWmvAWctrLe81A2z4,0.678,0.404,0.512,0.0,0.411,-10.175,0.0315,152.778,0.587,3
Sojoni,9,0tnTawT8YuQC18WWOcRnQv,Sojoni Tomaye Bhulini,spotify:track:0tnTawT8YuQC18WWOcRnQv,0.572,0.473,0.38,0.0,0.431,-11.003,0.0299,166.003,0.494,2
Sojoni,10,0veTUFyMcEdUZEYJACxEFa,Tomake Bhalobasar Jogyo Noi,spotify:track:0veTUFyMcEdUZEYJACxEFa,0.279,0.647,0.5,0.0,0.269,-11.387,0.0375,80.114,0.789,2
Karam Khudaya,1,06pk2tT3B4XXuxvhiJBCjt,Yaade Khuda,spotify:track:06pk2tT3B4XXuxvhiJBCjt,0.114,0.582,0.76,4.62e-06,0.336,-7.46,0.0349,137.972,0.727,3
Karam Khudaya,2,5EW8L6N8UKQr21wavZd9gZ,Mannat Maange,spotify:track:5EW8L6N8UKQr21wavZd9gZ,0.4,0.505,0.555,0.0,0.0891,-8.209,0.0318,149.764,0.367,3
Karam Khudaya,3,6Fx0p3GTBySvSSehmFTjPD,Bemisaal Kar,spotify:track:6Fx0p3GTBySvSSehmFTjPD,0.437,0.617,0.674,0.00313,0.0838,-8.349,0.0322,95.981,0.787,2
Karam Khudaya,4,28UpfN4AAatLYdQk2yPARK,Ashkon Se Apne Chehre,spotify:track:28UpfN4AAatLYdQk2yPARK,0.152,0.645,0.82,0.0,0.08,-4.773,0.0278,96.002,0.944,2
Karam Khudaya,5,54mthSoWRXvGQFJFp5FIhH,Raahe Haq Mein,spotify:track:54mthSoWRXvGQFJFp5FIhH,0.569,0.627,0.624,0.0,0.147,-6.486,0.028,89.0,0.548,1
Karam Khudaya,6,3YgiE5ESaJV8C1eFsVDKY7,Wo Khuda Se,spotify:track:3YgiE5ESaJV8C1eFsVDKY7,0.614,0.751,0.743,0.0,0.31,-5.451,0.0309,137.856,0.92,1
Karam Khudaya,7,0ScTGjjH4XyPpfAfw1wMS9,Itna Toh Kerna Karam Maula,spotify:track:0ScTGjjH4XyPpfAfw1wMS9,0.748,0.728,0.508,0.000117,0.0874,-7.534,0.0413,121.884,0.59,1
Karam Khudaya,8,1EWfHp6E1nOvn1cuFZhTX9,Baage-Jannat Mein Tu,spotify:track:1EWfHp6E1nOvn1cuFZhTX9,0.0254,0.639,0.95,0.000865,0.22,-5.25,0.0514,109.029,0.806,1
Chaka Nayana,1,669ask5STxHykiebiOGVia,Chaka Nayana,spotify:track:669ask5STxHykiebiOGVia,0.828,0.702,0.597,0.00757,0.349,-8.502,0.037,114.753,0.682,1
Chaka Nayana,2,6PRtal4HyO6boQEF1NtQ2C,Mun Kaliaara Puja Panda,spotify:track:6PRtal4HyO6boQEF1NtQ2C,0.398,0.672,0.724,0.0,0.473,-4.851,0.068,119.255,0.905,1
Chaka Nayana,3,6Yjs5dE8toffdAHZL8W8Uf,Pada Dhuli Tike,spotify:track:6Yjs5dE8toffdAHZL8W8Uf,0.805,0.638,0.661,0.000161,0.337,-6.033,0.0733,171.407,0.901,1
