album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
Shelby,1,4ZT9FnbFu1PaBfV3itxiqT,I,spotify:track:4ZT9FnbFu1PaBfV3itxiqT,0.627,0.649,0.453,0.0,0.116,-7.28,0.085,99.183,0.431,80
Shelby,2,0hCHNYL8ApQCGNwJrYN1FY,Bad Girls (feat. Gucci Mane),spotify:track:0hCHNYL8ApQCGNwJrYN1FY,0.208,0.771,0.761,0.0,0.091,-4.727,0.047,131.01,0.277,63
Shelby,3,6NGeKy2lLt86dxDjJAtBFk,Breathe,spotify:track:6NGeKy2lLt86dxDjJAtBFk,0.187,0.642,0.741,1.25e-06,0.146,-5.204,0.163,76.016,0.72,59
Shelby,4,0Goo25lbtpwor5vb0K2r21,Nowadays Pt. 2 (feat. Landon Cube),spotify:track:0Goo25lbtpwor5vb0K2r21,0.0836,0.687,0.829,0.0,0.0986,-3.607,0.0298,152.059,0.349,60
Shelby,5,6Ur6u4Ici7NYBiuGEEkNMP,Flooded,spotify:track:6Ur6u4Ici7NYBiuGEEkNMP,0.36,0.714,0.636,0.0,0.112,-5.286,0.201,166.049,0.52,57
Shelby,6,0AKwYorDdgm3NtusTmPlkn,Blue Strips,spotify:track:0AKwYorDdgm3NtusTmPlkn,0.102,0.776,0.776,0.0,0.138,-6.366,0.316,161.983,0.68,57
Shelby,7,6PXhPHhZy1MpxuTNA1Ad4L,Stop the Madness (feat. Gunna),spotify:track:6PXhPHhZy1MpxuTNA1Ad4L,0.0201,0.651,0.833,0.0,0.109,-5.153,0.0847,80.977,0.594,58
Shelby,8,0k7Qyc2J6cUryNNhf0pPEL,Ok 4 Now,spotify:track:0k7Qyc2J6cUryNNhf0pPEL,0.103,0.66,0.544,0.000564,0.111,-9.44,0.06,140.103,0.313,58
Shelby,9,2pzlvIwI67SEfjLwkZISh8,When I'm Wasted,spotify:track:2pzlvIwI67SEfjLwkZISh8,0.0731,0.735,0.639,0.0,0.323,-5.851,0.155,92.946,0.714,56
Shelby,10,49ImM4CYsEL5KG1hzUaCzq,Mansion,spotify:track:49ImM4CYsEL5KG1hzUaCzq,0.0236,0.71,0.796,0.0,0.152,-6.365,0.261,159.951,0.733,52
Shelby,11,3XVT8VNy0vpvTbFPQaBSZN,Through the Motions,spotify:track:3XVT8VNy0vpvTbFPQaBSZN,0.0368,0.697,0.618,0.0,0.085,-8.468,0.102,161.964,0.247,54
Shelby,12,0ZxY3V9miXeKIeKS3hgjCI,Highs and Lows,spotify:track:0ZxY3V9miXeKIeKS3hgjCI,0.0102,0.819,0.756,0.0,0.0952,-6.962,0.345,109.996,0.36,53
Shelby,13,11p2ty4w5GpoFL4vcK0Cru,Name in the Sand,spotify:track:11p2ty4w5GpoFL4vcK0Cru,0.0949,0.646,0.656,0.0,0.103,-6.798,0.0743,160.065,0.501,66
