album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
In The Heights (Original Broadway Cast Recording),1,4dS1QQw8askb1KSDLCKuvK,In the Heights,spotify:track:4dS1QQw8askb1KSDLCKuvK,0.516,0.622,0.468,0.0,0.337,-7.146,0.435,170.878,0.692,54
In The Heights (Original Broadway Cast Recording),2,6OSTrvIX8JXxRxFT4C9y0J,Breathe,spotify:track:6OSTrvIX8JXxRxFT4C9y0J,0.848,0.397,0.242,0.0,0.106,-10.754,0.0663,171.747,0.144,54
In The Heights (Original Broadway Cast Recording),3,41mYUxw1L4DCHSgpWHcmAy,Benny's Dispatch,spotify:track:41mYUxw1L4DCHSgpWHcmAy,0.168,0.768,0.51,0.0,0.112,-8.254,0.367,91.883,0.172,49
In The Heights (Original Broadway Cast Recording),4,6gTRjSKPok0vqeP7yEqmYU,It Won't Be Long Now,spotify:track:6gTRjSKPok0vqeP7yEqmYU,0.609,0.588,0.389,0.0,0.149,-9.372,0.118,129.436,0.46,49
In The Heights (Original Broadway Cast Recording),5,6Yjn95BWaCS4U2s6zKSrOS,Inútil,spotify:track:6Yjn95BWaCS4U2s6zKSrOS,0.728,0.475,0.292,2.25e-05,0.121,-10.902,0.128,94.042,0.0917,44
In The Heights (Original Broadway Cast Recording),6,7z4mcKCYFPgqFeYS5mNyTB,No Me Diga,spotify:track:7z4mcKCYFPgqFeYS5mNyTB,0.785,0.601,0.449,2.6e-06,0.13,-8.078,0.358,82.285,0.78,47
In The Heights (Original Broadway Cast Recording),7,0mqcxeYg1b57YjniPNTtQ6,"96,000",spotify:track:0mqcxeYg1b57YjniPNTtQ6,0.306,0.719,0.554,0.0,0.113,-7.203,0.353,85.194,0.648,52
In The Heights (Original Broadway Cast Recording),8,5kRGhvnoCWgw7cNgwSSQI2,Paciencia Y Fe,spotify:track:5kRGhvnoCWgw7cNgwSSQI2,0.72,0.544,0.407,0.0,0.176,-8.158,0.117,84.165,0.574,46
In The Heights (Original Broadway Cast Recording),9,6eR8u06oZFhoBMaKl0xBZp,When You're Home,spotify:track:6eR8u06oZFhoBMaKl0xBZp,0.525,0.581,0.58,0.0,0.0947,-6.997,0.181,102.131,0.267,47
In The Heights (Original Broadway Cast Recording),10,4RINHMTRqIFb61Y4GjoYR4,Piragua,spotify:track:4RINHMTRqIFb61Y4GjoYR4,0.726,0.736,0.542,0.0,0.0398,-7.564,0.0451,87.168,0.83,44
In The Heights (Original Broadway Cast Recording),11,1v4kdQ6zcsgHSxKMHefzKV,The Club,spotify:track:1v4kdQ6zcsgHSxKMHefzKV,0.666,0.742,0.589,2.83e-05,0.454,-6.966,0.134,104.76,0.851,45
In The Heights (Original Broadway Cast Recording),12,7ahhev2IIbivmkRqLjm7g3,Blackout,spotify:track:7ahhev2IIbivmkRqLjm7g3,0.44,0.587,0.667,0.0,0.0778,-5.491,0.0497,99.727,0.453,48
In The Heights (Original Broadway Cast Recording),13,7ETCUCheWrp9y0k3zaoCNq,Sunrise,spotify:track:7ETCUCheWrp9y0k3zaoCNq,0.77,0.389,0.143,2.82e-05,0.136,-14.065,0.0411,113.01,0.13,47
In The Heights (Original Broadway Cast Recording),14,1uTEsW6n80njACdk9HA8oA,Hundreds of Stories,spotify:track:1uTEsW6n80njACdk9HA8oA,0.668,0.607,0.407,0.0,0.0741,-9.557,0.0928,92.163,0.558,43
In The Heights (Original Broadway Cast Recording),15,7oowrTZAVVCIlGJd42w0hk,Enough,spotify:track:7oowrTZAVVCIlGJd42w0hk,0.677,0.839,0.464,0.0,0.151,-6.676,0.0979,105.95,0.733,43
In The Heights (Original Broadway Cast Recording),16,6XxqRhAaruObqx8ComY0H0,Carnaval Del Barrio,spotify:track:6XxqRhAaruObqx8ComY0H0,0.653,0.583,0.575,0.0,0.314,-7.374,0.353,111.459,0.615,46
In The Heights (Original Broadway Cast Recording),17,51bgtAyOMjeNaQFeQgaA31,Atención,spotify:track:51bgtAyOMjeNaQFeQgaA31,0.913,0.744,0.0476,0.0,0.114,-19.259,0.0705,104.832,0.426,40
In The Heights (Original Broadway Cast Recording),18,0ZTdalEIo0ZwDttOzA5LjH,Alabanza,spotify:track:0ZTdalEIo0ZwDttOzA5LjH,0.759,0.498,0.0874,5.89e-06,0.105,-14.948,0.0661,133.092,0.141,42
In The Heights (Original Broadway Cast Recording),19,5kSsjxq5pWQ7eH5l7jnyY7,Everything I Know,spotify:track:5kSsjxq5pWQ7eH5l7jnyY7,0.899,0.508,0.169,1.12e-05,0.136,-11.332,0.0553,107.477,0.15,43
In The Heights (Original Broadway Cast Recording),20,5P6p5awCY4sMgcOqLUQcJZ,Piragua - Reprise,spotify:track:5P6p5awCY4sMgcOqLUQcJZ,0.796,0.593,0.504,0.0,0.152,-6.49,0.104,173.872,0.647,40
In The Heights (Original Broadway Cast Recording),21,4h3uzwjfWKfs6uwwRsXQNK,Champagne,spotify:track:4h3uzwjfWKfs6uwwRsXQNK,0.509,0.704,0.378,0.0,0.0735,-10.124,0.39,93.707,0.188,44
In The Heights (Original Broadway Cast Recording),22,4o1ZZ9TrcwCvqp7wIO0n7l,When the Sun Goes Down,spotify:track:4o1ZZ9TrcwCvqp7wIO0n7l,0.478,0.567,0.231,1.41e-06,0.132,-13.766,0.0537,76.924,0.0612,42
In The Heights (Original Broadway Cast Recording),23,0kAWlfMyn1ah4y5iKUkngI,Finale,spotify:track:0kAWlfMyn1ah4y5iKUkngI,0.591,0.437,0.357,3.47e-06,0.214,-10.802,0.218,83.46,0.286,42
In The Heights (Original Broadway Cast Recording),24,44eVgppJeN0rjRS44LboFQ,In the Heights - Radio Edit,spotify:track:44eVgppJeN0rjRS44LboFQ,0.318,0.684,0.569,0.0,0.0777,-5.924,0.307,165.899,0.808,41
In The Heights (Original Broadway Cast Recording),25,2LYG1NNTRwnGuJEM7qtxFp,It Won't Be Long Now - Radio Edit,spotify:track:2LYG1NNTRwnGuJEM7qtxFp,0.787,0.532,0.377,0.0,0.169,-8.924,0.0519,129.865,0.391,37
In The Heights (Original Broadway Cast Recording),26,6nMDb1V8J9mKt8pMgOpWe2,"96,000 - Radio Edit",spotify:track:6nMDb1V8J9mKt8pMgOpWe2,0.377,0.724,0.53,0.0,0.141,-7.699,0.213,85.96,0.679,37
In The Heights (Original Broadway Cast Recording),27,1ByTNOl4eAizhAS2gmXVH6,When You're Home - Radio Edit,spotify:track:1ByTNOl4eAizhAS2gmXVH6,0.605,0.484,0.626,0.0,0.085,-5.836,0.21,94.644,0.356,35
