album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
Tum Bin: The Musical Experience,1,1fLGJb9kUjdiBuSKLM0Osz,Tum Bin,spotify:track:1fLGJb9kUjdiBuSKLM0Osz,0.0829,0.566,0.649,0.000405,0.115,-7.426,0.0358,146.005,0.423,0
Tum Bin: The Musical Experience,2,3IthwKa15NC8PEdRVzeEnw,Bahon Mein Aa Zara,spotify:track:3IthwKa15NC8PEdRVzeEnw,0.154,0.412,0.622,9.35e-06,0.0906,-7.131,0.0471,163.936,0.585,0
Tum Bin: The Musical Experience,3,7zmYVIh3lWv6pItwc6qZV7,Ishq Pe Zor Nahin,spotify:track:7zmYVIh3lWv6pItwc6qZV7,0.0243,0.532,0.576,0.000107,0.304,-8.015,0.0608,169.886,0.346,0
Tum Bin: The Musical Experience,4,69VnOF2jHD9ptcVdcm1uqN,Kaise Kehdu O Jane Jana,spotify:track:69VnOF2jHD9ptcVdcm1uqN,0.147,0.492,0.562,4.58e-05,0.0973,-7.662,0.0314,154.052,0.598,0
Tum Bin: The Musical Experience,5,61uqB98E34yf3H9K789uXR,Jabse Mile Ho Chain Kahan,spotify:track:61uqB98E34yf3H9K789uXR,0.198,0.642,0.676,0.0,0.0955,-6.689,0.0335,131.97,0.59,0
Tum Bin: The Musical Experience,6,7gTPjiOHKpjWqOCsx0baSf,Dadhkane Tez Hai Seene Mein,spotify:track:7gTPjiOHKpjWqOCsx0baSf,0.368,0.494,0.566,0.0,0.104,-7.215,0.0392,135.051,0.24,0
Tum Bin: The Musical Experience,7,6QcTGnB2Z21Ca2yBpNgtHW,Bahon Mein Aa Zara (Unplugged),spotify:track:6QcTGnB2Z21Ca2yBpNgtHW,0.603,0.396,0.319,4.65e-06,0.113,-9.498,0.0302,79.007,0.471,0
E Pothey Aami Je,1,4JrOc9vwOiG3xhWZwd8gUL,Aaj E Anondo Sondhaye,spotify:track:4JrOc9vwOiG3xhWZwd8gUL,0.815,0.443,0.555,5.08e-05,0.163,-4.227,0.0301,122.711,0.234,0
E Pothey Aami Je,2,2SZlF8cMiVL71jxmklORtN,E Pothey Ami Je,spotify:track:2SZlF8cMiVL71jxmklORtN,0.662,0.431,0.51,2.17e-06,0.0886,-5.182,0.0292,127.336,0.271,0
E Pothey Aami Je,3,1zH2liRyxWIR4UwPfUYrhZ,Chhaya Ghonaiche,spotify:track:1zH2liRyxWIR4UwPfUYrhZ,0.797,0.312,0.482,2.34e-06,0.133,-3.803,0.03,124.446,0.253,0
E Pothey Aami Je,4,4G6velgLQRdJNnZ7RxGAnU,Aaji Bijana Gharey,spotify:track:4G6velgLQRdJNnZ7RxGAnU,0.7,0.478,0.474,1.01e-06,0.106,-5.252,0.0283,145.408,0.446,0
E Pothey Aami Je,5,4lIycN3bdyZpLz2N4PDgBg,Charana Dhoni Shuni,spotify:track:4lIycN3bdyZpLz2N4PDgBg,0.752,0.389,0.459,0.000225,0.107,-7.617,0.0316,105.959,0.492,0
E Pothey Aami Je,6,5EDlxHzPVxJCON2cuESZe1,Megher Pore Megh,spotify:track:5EDlxHzPVxJCON2cuESZe1,0.907,0.256,0.243,2.01e-05,0.169,-7.058,0.0311,137.702,0.108,0
E Pothey Aami Je,7,3pocuwUdacyUPpxGLPgIPA,Na Chahile Jarey,spotify:track:3pocuwUdacyUPpxGLPgIPA,0.49,0.432,0.614,3.62e-05,0.319,-6.024,0.0341,137.885,0.345,0
E Pothey Aami Je,8,2Rd92p48dJFe84qktCuVXf,Emni Kore Jaaye Jodi Din,spotify:track:2Rd92p48dJFe84qktCuVXf,0.56,0.444,0.491,1.33e-06,0.225,-5.081,0.0287,134.406,0.271,0
