album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
Dancing Classics with Frank Chacksfield & His Orchestra (Remastered),1,6Xp11SyQh7cjSbjaPCVkK8,Inishannon Serenade - Remastered,spotify:track:6Xp11SyQh7cjSbjaPCVkK8,0.434,0.361,0.335,0.911,0.116,-11.913,0.0285,100.98,0.215,11
Dancing Classics with Frank Chacksfield & His Orchestra (Remastered),2,1Kp4w0IDjENqOrWWNHhYa3,Marylin - Remastered,spotify:track:1Kp4w0IDjENqOrWWNHhYa3,0.861,0.376,0.261,0.467,0.153,-11.269,0.0313,119.277,0.336,11
Dancing Classics with Frank Chacksfield & His Orchestra (Remastered),3,7MOtl5ZiLjmVcP6W7NS8Nh,How Was It for You - Remastered,spotify:track:7MOtl5ZiLjmVcP6W7NS8Nh,0.416,0.286,0.462,0.735,0.141,-11.423,0.0317,105.238,0.269,13
Dancing Classics with Frank Chacksfield & His Orchestra (Remastered),4,16fwdyyJFnQdz1AzWIyLbR,After the Lovin - Remastered,spotify:track:16fwdyyJFnQdz1AzWIyLbR,0.65,0.217,0.354,0.894,0.152,-10.801,0.0338,77.568,0.258,11
Dancing Classics with Frank Chacksfield & His Orchestra (Remastered),5,1ueC8Ji7OnXsPdm7R69jrM,Hopelessly Devoted to You - Remastered,spotify:track:1ueC8Ji7OnXsPdm7R69jrM,0.44,0.168,0.394,0.913,0.129,-10.223,0.0319,74.065,0.309,14
Dancing Classics with Frank Chacksfield & His Orchestra (Remastered),6,5sRUky5sMwn8nkZD3kF5KJ,Heidi - Remastered,spotify:track:5sRUky5sMwn8nkZD3kF5KJ,0.498,0.457,0.482,0.434,0.086,-9.501,0.0368,174.814,0.882,9
Dancing Classics with Frank Chacksfield & His Orchestra (Remastered),7,2Utex3c3LbOhvuZQgd2wZU,You Don't Bring Me Flowers - Remastered,spotify:track:2Utex3c3LbOhvuZQgd2wZU,0.685,0.16,0.356,0.789,0.138,-10.447,0.0336,98.462,0.0664,19
Dancing Classics with Frank Chacksfield & His Orchestra (Remastered),8,53xGtcOZJsbHASlNoNtn96,We're All Alone - Remastered,spotify:track:53xGtcOZJsbHASlNoNtn96,0.578,0.217,0.323,0.953,0.661,-11.448,0.0346,124.67,0.176,16
Dancing Classics with Frank Chacksfield & His Orchestra (Remastered),9,0tEt75VpttOTH817A8KIO2,Cheeky Cha Cha - Remastered,spotify:track:0tEt75VpttOTH817A8KIO2,0.498,0.491,0.464,0.692,0.175,-9.975,0.0307,146.829,0.809,9
Dancing Classics with Frank Chacksfield & His Orchestra (Remastered),10,5ZOwjGayb7TszeOBVdTLro,Looks Like We Made It - Remastered,spotify:track:5ZOwjGayb7TszeOBVdTLro,0.493,0.262,0.389,0.919,0.263,-10.179,0.032,67.435,0.17,16
