album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
Acoustic Live Vol. 1,1,3VpHhW058YNhFuaHbbjXA6,LET'S STAY HOME TONIGHT (Acoustic Live),spotify:track:3VpHhW058YNhFuaHbbjXA6,0.748,0.381,0.559,1.94e-06,0.531,-7.508,0.0579,161.034,0.426,47
Acoustic Live Vol. 1,2,4UKCxosI4GTWP7YV80JS9u,Drive All Night (Acoustic Live),spotify:track:4UKCxosI4GTWP7YV80JS9u,0.284,0.541,0.804,6.29e-05,0.709,-6.444,0.0471,140.628,0.543,53
Acoustic Live Vol. 1,3,7ramsuRnc706xxCeBSQJtQ,NO EXCUSES (Acoustic Live),spotify:track:7ramsuRnc706xxCeBSQJtQ,0.55,0.377,0.504,9.35e-05,0.72,-7.546,0.0439,131.032,0.285,46
Acoustic Live Vol. 1,4,1nXquMfUt3XgbCnVSgaM7F,State I'm In - Acoustic Live,spotify:track:1nXquMfUt3XgbCnVSgaM7F,0.171,0.5,0.926,6.45e-05,0.705,-4.495,0.0496,129.673,0.275,45
Acoustic Live Vol. 1,5,2bDi4gQA2mITGJBsBBZC0s,Washed by the Water - Acoustic Live,spotify:track:2bDi4gQA2mITGJBsBBZC0s,0.874,0.533,0.473,1.05e-06,0.543,-6.08,0.191,74.675,0.338,41
Acoustic Live Vol. 1,6,3AiGq2v4QiwXcwIfDj38Hr,TESTIFY (Acoustic Live),spotify:track:3AiGq2v4QiwXcwIfDj38Hr,0.66,0.412,0.695,0.0,0.841,-4.18,0.0341,91.953,0.299,41
Acoustic Live Vol. 1,7,7inAoTSHSDbJxeMMi6G5HF,"Oh, Carolina - Acoustic Live",spotify:track:7inAoTSHSDbJxeMMi6G5HF,0.168,0.286,0.89,0.00169,0.226,-5.89,0.143,175.438,0.246,40
Acoustic Live Vol. 1,8,0pohtuADv9aAqQ7KVDxa56,Stand by Me - Acoustic Live,spotify:track:0pohtuADv9aAqQ7KVDxa56,0.605,0.316,0.482,4.96e-05,0.142,-7.923,0.0476,78.353,0.287,56
Acoustic Live Vol. 1,9,478CcQt9iyivd9o1EDxTWc,Stones Under Rushing Water (feat. Drew Holcomb & Ellie Holcomb) - Acoustic Live,spotify:track:478CcQt9iyivd9o1EDxTWc,0.689,0.44,0.313,1.15e-05,0.219,-8.744,0.0506,137.418,0.219,46
Acoustic Live Vol. 1,10,0Dxy4lf4lNM4OPSH7gs25S,White Fences (Acoustic Live),spotify:track:0Dxy4lf4lNM4OPSH7gs25S,0.618,0.52,0.773,1.94e-06,0.705,-4.067,0.0285,81.534,0.578,47
Acoustic Live Vol. 1,11,14gNcXEZp8oQte9THEqPJ8,CAGES - Acoustic Live,spotify:track:14gNcXEZp8oQte9THEqPJ8,0.84,0.355,0.565,1.59e-05,0.201,-10.055,0.407,84.561,0.135,40
Acoustic Live Vol. 1,12,59O0VJcvNObWBKnymlz7lS,Brother - Acoustic Live,spotify:track:59O0VJcvNObWBKnymlz7lS,0.764,0.626,0.664,0.0,0.699,-7.828,0.187,87.46,0.706,40
H A R D L O V E,1,5B2s8mPL2jvdRVwCPAqy3Z,"MOUNTAIN, Pt 1",spotify:track:5B2s8mPL2jvdRVwCPAqy3Z,0.893,0.274,0.392,0.592,0.136,-11.509,0.0383,131.266,0.315,36
H A R D L O V E,2,0xcFH3973DZauDkGnNjMgm,HARD LOVE,spotify:track:0xcFH3973DZauDkGnNjMgm,0.0231,0.387,0.843,0.0,0.503,-4.221,0.0539,168.149,0.378,51
H A R D L O V E,3,4jtJZ9mep9Cdh8RGl5vw0g,MONEY & FAME,spotify:track:4jtJZ9mep9Cdh8RGl5vw0g,0.0686,0.554,0.891,1.47e-05,0.0905,-3.919,0.0991,154.012,0.454,44
H A R D L O V E,4,3o1OKJvEN5nAnhnHhUnbCx,NO EXCUSES,spotify:track:3o1OKJvEN5nAnhnHhUnbCx,0.8,0.665,0.314,1.89e-05,0.108,-10.455,0.0322,114.929,0.207,43
H A R D L O V E,5,4ZP6l1gBTMuGterGX45ajy,WHEN I SING,spotify:track:4ZP6l1gBTMuGterGX45ajy,0.0124,0.624,0.936,0.0,0.12,-3.376,0.0619,98.021,0.658,39
H A R D L O V E,6,7aag0fFgE9K1Gj8lJwQaGI,HAPPINESS,spotify:track:7aag0fFgE9K1Gj8lJwQaGI,0.00703,0.575,0.765,0.0,0.331,-6.608,0.0345,98.037,0.407,58
H A R D L O V E,7,41cxe6eOzzQS6odQk6fNdp,GREAT NIGHT (feat. Shovels & Rope),spotify:track:41cxe6eOzzQS6odQk6fNdp,0.0018,0.453,0.914,0.0,0.349,-3.445,0.0825,129.841,0.504,52
H A R D L O V E,8,6aXKP2TWEkgruJvRujGMKG,BE HERE LONG,spotify:track:6aXKP2TWEkgruJvRujGMKG,0.0327,0.512,0.883,2.46e-06,0.34,-3.137,0.0453,155.97,0.527,47
H A R D L O V E,9,6WaIDdOdfmWdvXvUyBMq7F,DON'T BRING THAT TROUBLE,spotify:track:6WaIDdOdfmWdvXvUyBMq7F,0.00849,0.649,0.936,9.56e-06,0.153,-4.131,0.0432,130.943,0.692,39
H A R D L O V E,10,1kiylxwnw8R8rJoCDtubWM,LET'S STAY HOME TONIGHT,spotify:track:1kiylxwnw8R8rJoCDtubWM,0.668,0.548,0.367,0.0,0.144,-9.271,0.0309,147.946,0.416,62
H A R D L O V E,11,5OpjJ9qy54D3PzQJ1s4Q9X,TESTIFY,spotify:track:5OpjJ9qy54D3PzQJ1s4Q9X,0.471,0.495,0.71,0.0,0.0703,-3.941,0.0288,90.024,0.319,59
