album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
Bury Me With Dead Roses,1,3mpfAWh5pKa7uPesLdN9D8,On My Way,spotify:track:3mpfAWh5pKa7uPesLdN9D8,0.587,0.695,0.62,0.0,0.0923,-8.372,0.325,120.145,0.795,40
Bury Me With Dead Roses,2,2PMyGYaZW5fnA8t2gsmxI0,Like A Drug,spotify:track:2PMyGYaZW5fnA8t2gsmxI0,0.311,0.465,0.546,0.0,0.105,-10.477,0.15,132.194,0.0356,40
Bury Me With Dead Roses,3,2g3fVDOsqkpkNHQ2FOZePL,Anything You Need,spotify:track:2g3fVDOsqkpkNHQ2FOZePL,0.0619,0.758,0.442,0.0,0.0993,-11.173,0.0873,139.912,0.166,40
Bury Me With Dead Roses,4,4N5BivhoFEZNWBSUYUpM5D,Love Yourself,spotify:track:4N5BivhoFEZNWBSUYUpM5D,0.634,0.569,0.484,2.86e-05,0.0937,-12.833,0.415,172.197,0.111,47
Bury Me With Dead Roses,5,0Jcb7TsYax2x0csjiSkVqP,Blame On Me,spotify:track:0Jcb7TsYax2x0csjiSkVqP,0.222,0.574,0.563,0.000425,0.0956,-9.864,0.415,91.883,0.172,40
Bury Me With Dead Roses,6,0DWMyA4KOdtjAY5xaWmWsa,All These Thoughts,spotify:track:0DWMyA4KOdtjAY5xaWmWsa,0.123,0.771,0.541,0.0,0.12,-8.735,0.146,145.113,0.51,39
Bury Me With Dead Roses,7,0zwOJ5o0djYVri3sItfT3R,Te Necesito,spotify:track:0zwOJ5o0djYVri3sItfT3R,0.132,0.535,0.797,0.0,0.108,-7.182,0.298,86.239,0.49,48
Bury Me With Dead Roses,8,2Y0H1jj7PmUemwU9PZpv5j,Just You,spotify:track:2Y0H1jj7PmUemwU9PZpv5j,0.0113,0.558,0.446,3.72e-05,0.152,-8.019,0.0515,152.065,0.0507,38
Bury Me With Dead Roses,9,5BlFQQnYMEHhfgV8rF1HZn,Alive,spotify:track:5BlFQQnYMEHhfgV8rF1HZn,0.945,0.356,0.112,0.0,0.0992,-16.114,0.0441,70.769,0.0946,41
Bury Me With Dead Roses,10,6qlaYq7sQfewQnqB75LHq2,Forgive Me,spotify:track:6qlaYq7sQfewQnqB75LHq2,0.0986,0.692,0.674,0.0,0.113,-11.087,0.566,79.891,0.0324,45
Bury Me With Dead Roses,11,5j7puA77SgBv7GCKgEUlBM,Never Know,spotify:track:5j7puA77SgBv7GCKgEUlBM,0.263,0.522,0.366,6.85e-06,0.0888,-10.701,0.358,77.856,0.0492,37
Bury Me With Dead Roses,12,3cDpCJFlQywLG8XTBaJTJM,Lost,spotify:track:3cDpCJFlQywLG8XTBaJTJM,0.631,0.582,0.627,0.0,0.0987,-10.055,0.444,125.952,0.23,41
Bury Me With Dead Roses,13,6IGEM9bPowBTWOyKT7Ewyw,Back To You,spotify:track:6IGEM9bPowBTWOyKT7Ewyw,0.647,0.533,0.258,0.0,0.125,-15.971,0.409,75.654,0.0395,42
Bury Me With Dead Roses,14,7wq2rftjwB1h7gYoHdyIwm,Where Did We Go Wrong,spotify:track:7wq2rftjwB1h7gYoHdyIwm,0.618,0.594,0.47,0.0,0.102,-11.033,0.276,147.889,0.118,45
Bury Me With Dead Roses,15,3JN0LjlYbZ6aRld58zjUMA,How It Feels To Feel Nothing,spotify:track:3JN0LjlYbZ6aRld58zjUMA,0.754,0.612,0.534,0.0,0.103,-14.281,0.664,86.325,0.27,48
Bury Me With Dead Roses,16,4zRoUDUv23Cq0N0Efgfn8Z,The Dream,spotify:track:4zRoUDUv23Cq0N0Efgfn8Z,0.707,0.537,0.63,0.0,0.0844,-11.484,0.879,80.015,0.42,39
Love Is Hell,1,2Tn4XArLhjrZEhBKlAle0j,Love Is Hell (feat. Trippie Redd),spotify:track:2Tn4XArLhjrZEhBKlAle0j,0.0113,0.662,0.784,0.0,0.715,-7.164,0.052,98.729,0.107,53
Love Is Hell,2,0cQcFWXj7QGX4I7GVqee3a,Buss It Down,spotify:track:0cQcFWXj7QGX4I7GVqee3a,0.751,0.716,0.516,6.26e-05,0.108,-9.366,0.0452,81.036,0.585,45
Love Is Hell,3,0NlCW2NRTH6kwreOScnyfU,Done Playing Nice,spotify:track:0NlCW2NRTH6kwreOScnyfU,0.00754,0.885,0.777,0.0,0.0895,-6.408,0.357,140.046,0.486,34
Love Is Hell,4,2SzWwq6WsJuIgyR8RrX3iL,For You (feat. Tory Lanez & G-Eazy),spotify:track:2SzWwq6WsJuIgyR8RrX3iL,0.148,0.408,0.724,4.07e-05,0.0786,-8.264,0.478,183.92,0.63,47
Love Is Hell,5,0P2W7PZIqa47sIYMGAvfD5,Love Me Like,spotify:track:0P2W7PZIqa47sIYMGAvfD5,0.772,0.648,0.547,0.0,0.0792,-9.921,0.342,119.93,0.57,41
Love Is Hell,6,0KRkgRkBa1fA4vJl8PMOTf,Stuck in My Ways (feat. 6LACK),spotify:track:0KRkgRkBa1fA4vJl8PMOTf,0.0503,0.6,0.484,0.0,0.0995,-8.838,0.145,121.209,0.108,60
Love Is Hell,7,38Opd4SKonWLffsNDW9zK5,"Sinner, Pt. 3",spotify:track:38Opd4SKonWLffsNDW9zK5,0.391,0.467,0.591,0.0,0.205,-6.066,0.493,174.977,0.321,53
Love Is Hell,8,5fj0MhZMuOxQ0zSNBYTLif,Romeo (feat. Brandon Vlad),spotify:track:5fj0MhZMuOxQ0zSNBYTLif,0.558,0.645,0.368,0.0,0.104,-13.264,0.24,101.858,0.236,36
Love Is Hell,9,1JBfzJzm8SDsHm8OEHuVyp,No Scope,spotify:track:1JBfzJzm8SDsHm8OEHuVyp,0.0278,0.475,0.739,0.0,0.0827,-7.411,0.483,92.086,0.327,37
Love Is Hell,10,5yat1LO9CPzp1SC67VhPpT,Direction,spotify:track:5yat1LO9CPzp1SC67VhPpT,0.607,0.507,0.374,2.86e-05,0.106,-14.27,0.246,110.717,0.0693,37
Love Is Hell,11,3cSaK6t51ZCzyVzFqLOgOX,Space (feat. Breana Marin),spotify:track:3cSaK6t51ZCzyVzFqLOgOX,0.106,0.755,0.45,2.72e-06,0.181,-12.693,0.226,96.009,0.361,39
Love Is Hell,12,5s6sPgr0vZS7PRQk49JQT6,Her,spotify:track:5s6sPgr0vZS7PRQk49JQT6,0.951,0.512,0.572,0.0,0.13,-10.573,0.424,84.129,0.256,43
Love Is Hell,13,2Cmashi3O9I8my5NnbQgqe,Feel,spotify:track:2Cmashi3O9I8my5NnbQgqe,0.153,0.829,0.457,1.23e-05,0.0772,-10.91,0.0729,118.015,0.257,54
Love Is Hell,14,5PXNWMf4HqRzIxpRKcwHfB,Back Then,spotify:track:5PXNWMf4HqRzIxpRKcwHfB,0.464,0.475,0.484,0.0141,0.0917,-8.442,0.176,93.322,0.392,34
Love Is Hell,15,6FC1M8KMmAPQuMVXiuRY0B,Til Infinity,spotify:track:6FC1M8KMmAPQuMVXiuRY0B,0.0796,0.649,0.755,0.0,0.111,-9.838,0.502,184.156,0.0465,38
Yours Truly Forever,1,6CC0mgoZgDGP7QwoAYoQkF,God,spotify:track:6CC0mgoZgDGP7QwoAYoQkF,0.873,0.484,0.625,0.0,0.372,-9.445,0.278,144.065,0.342,40
Yours Truly Forever,2,1SvcQjpUz7g8hVKM7ClSWE,R U Still,spotify:track:1SvcQjpUz7g8hVKM7ClSWE,0.0899,0.71,0.44,0.0,0.0823,-10.771,0.318,117.438,0.119,45
Yours Truly Forever,3,6Gw1Ke0vN571pOtnEoZyPh,Facts,spotify:track:6Gw1Ke0vN571pOtnEoZyPh,0.126,0.807,0.549,0.0,0.109,-7.987,0.3,120.035,0.475,34
Yours Truly Forever,4,16WevJS18u6XmYdzARUHLj,Way 2 Much,spotify:track:16WevJS18u6XmYdzARUHLj,0.404,0.621,0.709,0.0,0.0996,-10.869,0.847,78.923,0.432,36
Yours Truly Forever,5,0B3KOB7fkjOlCFe075aial,"Sinner, Pt. 2",spotify:track:0B3KOB7fkjOlCFe075aial,0.764,0.409,0.736,0.0,0.0837,-5.686,0.495,185.114,0.451,55
Yours Truly Forever,6,6Umac95Mt46VcwAM9s9mOa,To the Moon,spotify:track:6Umac95Mt46VcwAM9s9mOa,0.624,0.54,0.572,0.0,0.14,-8.665,0.115,82.562,0.43,65
Yours Truly Forever,7,0IN6IF8hEEiZFu6r74tZb5,Forever,spotify:track:0IN6IF8hEEiZFu6r74tZb5,0.061,0.774,0.493,0.0,0.072,-8.277,0.365,171.946,0.17,42
Yours Truly Forever,8,5Rei765DQNLNzLBesnAQCP,Numb,spotify:track:5Rei765DQNLNzLBesnAQCP,0.15,0.425,0.55,0.0,0.0981,-9.942,0.404,173.363,0.138,51
Yours Truly Forever,9,1ZvpyDnJOluAYY2k4hr4LN,Rider,spotify:track:1ZvpyDnJOluAYY2k4hr4LN,0.0598,0.394,0.709,0.0,0.144,-7.314,0.335,154.256,0.303,37
Yours Truly Forever,10,74RMUkSaE5CQ3WRtcB6hk5,Loyalty,spotify:track:74RMUkSaE5CQ3WRtcB6hk5,0.0102,0.752,0.66,0.0,0.095,-4.424,0.233,116.079,0.2,46
Yours Truly Forever,11,1CrWOnaCmUQZ855ZoAjoY5,No Looking Back,spotify:track:1CrWOnaCmUQZ855ZoAjoY5,0.742,0.517,0.644,0.0,0.134,-8.531,0.524,89.162,0.463,35
Yours Truly Forever,12,4KB41ofJUh3jxhIhwnosLE,Everybody Knows,spotify:track:4KB41ofJUh3jxhIhwnosLE,0.00896,0.637,0.5,0.0,0.105,-10.582,0.301,114.088,0.332,35
Yours Truly Forever,13,3xSJ1r1sf4Iw3EueaLVHdY,Run To,spotify:track:3xSJ1r1sf4Iw3EueaLVHdY,0.0172,0.753,0.45,0.0,0.102,-9.569,0.206,128.037,0.242,38
