album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
THE GOAT,1,3TciLI5wo7RddPtAFhiU9V,Don't Believe The Hype,spotify:track:3TciLI5wo7RddPtAFhiU9V,0.0802,0.622,0.679,0.0,0.112,-6.183,0.29,160.059,0.418,73
THE GOAT,2,2iP3unJbxZvRuqyrS0ocZy,Heartless (feat. Mustard),spotify:track:2iP3unJbxZvRuqyrS0ocZy,0.149,0.776,0.64,0.0,0.101,-8.058,0.184,160.038,0.326,75
THE GOAT,3,1VLtjHwRWOVJiE5Py7JxoQ,Martin & Gina,spotify:track:1VLtjHwRWOVJiE5Py7JxoQ,0.345,0.832,0.534,0.0,0.165,-7.813,0.253,93.924,0.116,77
THE GOAT,4,2QqJTIlGKRLJC3onkavYEz,Flex (feat. Juice WRLD),spotify:track:2QqJTIlGKRLJC3onkavYEz,0.0538,0.752,0.673,0.0,0.133,-5.792,0.153,164.009,0.35,84
THE GOAT,5,4PklAHGXT5ityno3IA8SKd,Go Stupid,spotify:track:4PklAHGXT5ityno3IA8SKd,0.0277,0.92,0.833,0.0,0.0596,-3.18,0.253,141.034,0.645,78
THE GOAT,6,3JKgcAa7r07ocVWcV8bS0H,21,spotify:track:3JKgcAa7r07ocVWcV8bS0H,0.149,0.783,0.479,0.0,0.101,-10.646,0.541,176.027,0.533,78
THE GOAT,7,2iW6Hb6kfrz2K7EhPibFiq,33,spotify:track:2iW6Hb6kfrz2K7EhPibFiq,0.126,0.732,0.462,0.0,0.12,-10.191,0.406,180.067,0.117,75
THE GOAT,8,40j4RoqmLiivqzRObbQ4BF,I Know,spotify:track:40j4RoqmLiivqzRObbQ4BF,0.0919,0.807,0.665,0.0,0.0788,-5.249,0.276,164.964,0.557,75
THE GOAT,9,4SIB2yxKoFOrbkjA4zfQbB,Beautiful Pain (Losin My Mind),spotify:track:4SIB2yxKoFOrbkjA4zfQbB,0.137,0.597,0.477,0.0,0.113,-9.638,0.642,80.382,0.512,76
THE GOAT,10,4dKe8YJZg545pXqWBksYIe,No Matter What,spotify:track:4dKe8YJZg545pXqWBksYIe,0.111,0.539,0.705,0.0,0.093,-6.89,0.284,83.367,0.456,71
THE GOAT,11,65jw6GhwQW3Db55PxlPEpS,Be Something (feat. Lil Baby),spotify:track:65jw6GhwQW3Db55PxlPEpS,0.0232,0.829,0.52,0.0,0.134,-10.34,0.294,136.103,0.248,80
THE GOAT,12,1F8yKtk5CQBptos4kM7aO7,Relentless,spotify:track:1F8yKtk5CQBptos4kM7aO7,0.372,0.763,0.558,0.0,0.12,-5.506,0.285,77.026,0.276,71
THE GOAT,13,58GJNfq2m0Qr5nIUCDbXVQ,DND,spotify:track:58GJNfq2m0Qr5nIUCDbXVQ,0.129,0.779,0.797,0.0,0.118,-4.583,0.356,159.958,0.231,73
THE GOAT,14,4XLCFFvRG1qQ8kT4uzwYZC,Chinatown,spotify:track:4XLCFFvRG1qQ8kT4uzwYZC,0.106,0.82,0.5,0.0,0.183,-11.1,0.452,89.09,0.729,70
THE GOAT,15,6V1Jx3o0S2MtBI9yIDXsJS,Trials & Tribulations,spotify:track:6V1Jx3o0S2MtBI9yIDXsJS,0.0829,0.796,0.612,0.0,0.0607,-6.994,0.433,87.542,0.545,71
THE GOAT,16,192RjH0gN6en7nE6ElN96T,Wishing For A Hero (feat. BJ The Chicago Kid),spotify:track:192RjH0gN6en7nE6ElN96T,0.0679,0.562,0.589,0.0,0.0684,-7.509,0.265,88.903,0.188,75
