album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
Pony,1,4tVphly4D1PB8tJC9gHMcJ,10/10,spotify:track:4tVphly4D1PB8tJC9gHMcJ,0.302,0.487,0.909,2.91e-05,0.0781,-4.092,0.0994,187.829,0.293,65
Pony,2,3SxSrUogj4LpAkLKXeTtTQ,Always,spotify:track:3SxSrUogj4LpAkLKXeTtTQ,0.777,0.669,0.374,0.0,0.326,-7.349,0.0385,127.938,0.394,67
Pony,3,1pi6ZMcC30dpQSOQHfc4QE,Laser Lights,spotify:track:1pi6ZMcC30dpQSOQHfc4QE,0.777,0.518,0.403,3.11e-05,0.112,-9.273,0.135,82.152,0.197,58
Pony,4,0YdIIMb2MHuxoUudkAY9gS,Face to Face,spotify:track:0YdIIMb2MHuxoUudkAY9gS,0.592,0.748,0.441,0.0,0.176,-7.653,0.0622,124.107,0.44,68
Pony,5,7uNUSxzFjPj9JQaZidFreW,Stressed Out,spotify:track:7uNUSxzFjPj9JQaZidFreW,0.935,0.65,0.319,0.0,0.258,-9.274,0.05,84.063,0.197,60
Pony,6,5h68UTytwmTJDwoGbqLwzV,Never Had The Balls,spotify:track:5h68UTytwmTJDwoGbqLwzV,0.387,0.691,0.68,0.000276,0.0508,-7.808,0.0365,149.974,0.361,65
Pony,7,4EWBhKf1fOFnyMtUzACXEc,Pluto Projector,spotify:track:4EWBhKf1fOFnyMtUzACXEc,0.707,0.551,0.219,0.000691,0.118,-11.196,0.0285,80.978,0.191,70
Pony,8,7HOsPWfUoMjc2tcC4hVyQV,Every Way,spotify:track:7HOsPWfUoMjc2tcC4hVyQV,0.914,0.416,0.0994,1.28e-06,0.1,-15.182,0.0787,76.667,0.429,58
Pony,9,6lxJDscGCALBzA0BdhGCiL,It Gets Better,spotify:track:6lxJDscGCALBzA0BdhGCiL,0.482,0.705,0.379,0.0,0.0684,-8.488,0.0319,121.995,0.521,63
Pony,10,7vRia9rlEuTDQxkfXIKySi,It's Not The Same Anymore,spotify:track:7vRia9rlEuTDQxkfXIKySi,0.874,0.665,0.317,3.8e-05,0.111,-10.644,0.0327,117.698,0.359,64
Apricot Princess,1,28GbaBYFpYi1J61fXnGSfd,Apricot Princess,spotify:track:28GbaBYFpYi1J61fXnGSfd,0.244,0.399,0.468,0.000168,0.103,-8.646,0.0336,111.884,0.249,61
Apricot Princess,2,5OUTFH5acycdnf8OVo21Gv,Television / So Far So Good,spotify:track:5OUTFH5acycdnf8OVo21Gv,0.592,0.405,0.505,0.0,0.121,-7.75,0.0458,164.971,0.318,68
Apricot Princess,3,3rIKurK8njiyQvZQsSU6bl,Nothing,spotify:track:3rIKurK8njiyQvZQsSU6bl,0.346,0.725,0.418,1.01e-06,0.0658,-8.799,0.0309,77.923,0.378,60
Apricot Princess,4,3ijXR4yXgN43eF54uK7oos,Sycamore Girl,spotify:track:3ijXR4yXgN43eF54uK7oos,0.101,0.611,0.386,0.000711,0.175,-10.716,0.0291,115.979,0.189,56
Apricot Princess,5,3PbV3ocgAp3Xn0omGFC0cG,Untitled,spotify:track:3PbV3ocgAp3Xn0omGFC0cG,0.905,0.567,0.199,0.0,0.131,-9.601,0.101,83.827,0.329,67
Apricot Princess,6,3AbV3JF0bJAZXeHEJZfpke,4 Seasons,spotify:track:3AbV3JF0bJAZXeHEJZfpke,0.217,0.505,0.458,0.0,0.116,-7.87,0.0392,123.922,0.17,62
Apricot Princess,7,7LmkhaMCqsjppaYtAYhMaI,Waiting Room,spotify:track:7LmkhaMCqsjppaYtAYhMaI,0.809,0.752,0.345,5.24e-06,0.112,-8.992,0.0309,109.877,0.178,56
Apricot Princess,8,4Ozmbn4LIW5WVZhhHuk1Gp,Rain Man,spotify:track:4Ozmbn4LIW5WVZhhHuk1Gp,0.988,0.389,0.292,0.891,0.117,-9.636,0.0548,86.598,0.321,50
Apricot Princess,9,2d1VRB0OXkwtMu0OKsxXDW,Never Enough,spotify:track:2d1VRB0OXkwtMu0OKsxXDW,0.0124,0.511,0.891,0.0,0.0912,-4.44,0.095,158.99,0.536,59
Apricot Princess,10,2rXVtoLBHuXcNB5DVfIc9p,Happiness,spotify:track:2rXVtoLBHuXcNB5DVfIc9p,0.734,0.399,0.235,1.56e-06,0.161,-9.774,0.0334,105.645,0.197,71
Bcos U Will Never B Free,1,2gpuOUD7W8uOJ2c0JTFIe9,Rex (Intro),spotify:track:2gpuOUD7W8uOJ2c0JTFIe9,0.897,0.592,0.246,0.0,0.102,-13.941,0.0514,109.313,0.132,51
