album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
Truth Is,1,5E1ACdOkVeCEt3BMcL67K8,Take One to the Head,spotify:track:5E1ACdOkVeCEt3BMcL67K8,0.282,0.604,0.549,0.0349,0.103,-6.741,0.0444,135.975,0.375,52
Truth Is,2,2AAL4PF8WtOgHKHajUBbwh,Truth Is,spotify:track:2AAL4PF8WtOgHKHajUBbwh,0.585,0.645,0.726,0.000451,0.112,-3.402,0.0691,129.908,0.158,66
Truth Is,3,6XjNLIoUiU2XKdbNp7PvHl,Rumors (feat. ZAYN),spotify:track:6XjNLIoUiU2XKdbNp7PvHl,0.178,0.602,0.707,8.79e-05,0.146,-5.372,0.126,172.034,0.483,66
Truth Is,4,4QvzPle6U0d4NuiY4gD1SQ,Hurt People,spotify:track:4QvzPle6U0d4NuiY4gD1SQ,0.87,0.63,0.291,0.0151,0.0845,-9.931,0.0318,105.033,0.463,48
Truth Is,5,3NZJBpz5OO8kYp1A2XvLDu,On My Shoulders,spotify:track:3NZJBpz5OO8kYp1A2XvLDu,0.495,0.672,0.384,0.0184,0.111,-6.945,0.0616,143.134,0.178,51
Truth Is,6,2psuZQ8aJX0sEyjcfeP7rP,Me in Her,spotify:track:2psuZQ8aJX0sEyjcfeP7rP,0.292,0.761,0.516,0.0267,0.11,-5.562,0.0394,115.016,0.342,48
Truth Is,7,21CAxlvGH09dzJZfzF44E8,I Don't Mean To,spotify:track:21CAxlvGH09dzJZfzF44E8,0.547,0.586,0.546,0.000163,0.165,-6.528,0.21,77.489,0.241,46
Truth Is,8,14J8TjBnTLIH1GVa3XzuiE,As Long as You're Asleep,spotify:track:14J8TjBnTLIH1GVa3XzuiE,0.728,0.492,0.532,0.0,0.149,-5.569,0.204,120.121,0.51,47
Truth Is,9,5c8lzZGPbmVu6sLQOA5WoU,Problem With You,spotify:track:5c8lzZGPbmVu6sLQOA5WoU,0.47,0.607,0.533,0.0136,0.12,-6.188,0.136,160.138,0.321,60
Truth Is,10,4Hs7FS8jNNReipDe6SDpwz,Holding the Gun,spotify:track:4Hs7FS8jNNReipDe6SDpwz,0.159,0.665,0.563,0.000218,0.305,-6.042,0.0441,78.004,0.353,55
Truth Is,11,4DkmvgEtrLZ9vzmDAHFzVZ,Truth Is (Spanish Version),spotify:track:4DkmvgEtrLZ9vzmDAHFzVZ,0.861,0.476,0.259,0.000176,0.148,-9.463,0.0412,138.111,0.151,52
"No Rain, No Flowers",1,4BTMGOsnbzI76XYTxAn5K8,Come Here,spotify:track:4BTMGOsnbzI76XYTxAn5K8,0.826,0.551,0.517,0.00659,0.391,-8.605,0.0499,140.02,0.199,50
"No Rain, No Flowers",2,7m6NKiP2uUoDzWS1GxBfFt,Naked,spotify:track:7m6NKiP2uUoDzWS1GxBfFt,0.723,0.504,0.34,0.234,0.511,-12.018,0.0881,146.131,0.33,50
"No Rain, No Flowers",3,2XxV4ryxBQAxLv00rBAiYN,Cycle,spotify:track:2XxV4ryxBQAxLv00rBAiYN,0.373,0.548,0.466,0.00131,0.12,-4.39,0.0318,100.167,0.133,42
"No Rain, No Flowers",4,4uqbiPAOX2a857xDoJejow,Creation,spotify:track:4uqbiPAOX2a857xDoJejow,0.766,0.79,0.416,0.000358,0.101,-2.909,0.0419,109.987,0.448,48
"No Rain, No Flowers",5,5tQHlrTLQcn0KmN2uttWNC,Numb,spotify:track:5tQHlrTLQcn0KmN2uttWNC,0.565,0.503,0.614,0.000104,0.12,-5.896,0.06,82.496,0.288,45
"No Rain, No Flowers",6,58VbElSOxvLsQBtetg0PcT,Did We Lose Our Minds,spotify:track:58VbElSOxvLsQBtetg0PcT,0.814,0.326,0.417,6.56e-05,0.305,-9.118,0.0276,80.013,0.0422,44
"No Rain, No Flowers",7,1s2nqmOskKMNRODPn63Xo1,Control,spotify:track:1s2nqmOskKMNRODPn63Xo1,0.405,0.768,0.483,0.00221,0.121,-7.619,0.0907,133.056,0.174,48
"No Rain, No Flowers",8,3NhEEC4oE5hX6u8RCx6Q9m,Messages From Her,spotify:track:3NhEEC4oE5hX6u8RCx6Q9m,0.801,0.377,0.426,0.0592,0.112,-6.64,0.0451,125.826,0.103,59
About Time,1,5JfVj5cDISPGAUnWhrIMiQ,About Time (Intro),spotify:track:5JfVj5cDISPGAUnWhrIMiQ,0.753,0.504,0.21,0.0,0.124,-17.105,0.422,119.18,0.276,40
