album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
Live At Shea Stadium,1,61pLwF1neHTLlILQ2c9sHJ,Kosmo Vinyl Introduction,spotify:track:61pLwF1neHTLlILQ2c9sHJ,0.876,0.432,0.99,0.0139,0.982,-5.58,0.818,104.466,0.123,3
Live At Shea Stadium,2,1Xg5EGZInHvfT95Cp0l2w8,London Calling - Live,spotify:track:1Xg5EGZInHvfT95Cp0l2w8,0.0223,0.424,0.981,0.000632,0.891,-2.469,0.086,144.406,0.352,7
Live At Shea Stadium,3,5glwfm8YSNa0DM07aizXUr,Police on my Back - Live,spotify:track:5glwfm8YSNa0DM07aizXUr,0.0298,0.41,0.993,0.0,0.957,-2.296,0.278,148.136,0.182,7
Live At Shea Stadium,4,5KizT5OSk8dPwMZOx9NrN8,The Guns of Brixton - Live,spotify:track:5KizT5OSk8dPwMZOx9NrN8,0.00545,0.585,0.959,5.07e-05,0.632,-4.07,0.0504,114.084,0.598,5
Live At Shea Stadium,5,3qg7nc4IwEBbq1j4jk4rKI,Tommy Gun - Live,spotify:track:3qg7nc4IwEBbq1j4jk4rKI,0.0028,0.246,0.963,0.0,0.91,-3.772,0.0602,165.032,0.609,4
Live At Shea Stadium,6,4sCaXLAQ7D7nRiX4i8egfo,Magnificent Seven - Live,spotify:track:4sCaXLAQ7D7nRiX4i8egfo,0.0324,0.654,0.925,0.0,0.128,-4.555,0.107,132.077,0.701,5
Live At Shea Stadium,7,1m7HrLhNSLDURO54EMNUvi,Armagideon Time - Live,spotify:track:1m7HrLhNSLDURO54EMNUvi,0.0205,0.653,0.749,0.0,0.255,-4.38,0.0338,87.708,0.403,3
Live At Shea Stadium,8,11USefPvaC2aCsQ7MV1Vj1,Magnificent Seven (Return) - Live,spotify:track:11USefPvaC2aCsQ7MV1Vj1,0.025,0.618,0.954,0.0,0.879,-3.865,0.061,132.029,0.632,3
Live At Shea Stadium,9,5BQ5JG6WDFKK8xmosP4sjJ,Rock the Casbah - Live,spotify:track:5BQ5JG6WDFKK8xmosP4sjJ,0.101,0.385,0.993,0.0,0.878,-3.29,0.12,139.014,0.283,6
Live At Shea Stadium,10,0e9j0bZVxQiNibN7Qdy6RT,Train in Vain - Live,spotify:track:0e9j0bZVxQiNibN7Qdy6RT,0.155,0.614,0.984,3.63e-05,0.829,-2.234,0.129,127.907,0.481,6
Live At Shea Stadium,11,3gt0gpzKPtmfux2CoH5PzH,Career Opportunities - Live,spotify:track:3gt0gpzKPtmfux2CoH5PzH,0.0142,0.25,0.968,0.0,0.98,-2.434,0.0714,173.059,0.754,3
Live At Shea Stadium,12,2l4hzOWu2r2lbVastMzLT0,Spanish Bombs - Live,spotify:track:2l4hzOWu2r2lbVastMzLT0,0.204,0.412,0.968,0.0,0.98,-3.281,0.0531,144.519,0.588,4
Live At Shea Stadium,13,119Lx4bO55zEnwUq1jOV7E,Clampdown - Live,spotify:track:119Lx4bO55zEnwUq1jOV7E,0.0321,0.393,0.951,0.0,0.678,-3.73,0.124,149.615,0.581,4
Live At Shea Stadium,14,66DYoKdFLaIMqh28wyDSif,English Civil War - Live,spotify:track:66DYoKdFLaIMqh28wyDSif,0.051,0.27,0.949,0.0,0.546,-4.072,0.105,163.239,0.256,3
Live At Shea Stadium,15,5C3qJNQwf3pMkJCze68e14,Should I Stay or Should I Go - Live,spotify:track:5C3qJNQwf3pMkJCze68e14,0.0083,0.36,0.963,0.0,0.397,-3.839,0.124,131.362,0.688,10
Live At Shea Stadium,16,7K8a0mjHT5ePtXPzAKNoEq,I Fought the Law - Live,spotify:track:7K8a0mjHT5ePtXPzAKNoEq,0.0151,0.222,0.99,2.79e-06,0.985,-3.834,0.164,161.72,0.477,8
Live at Shea Stadium (Remastered),1,4ADBECleY1W07PUKeKbsBN,Kosmo Vinyl Introduction (Live at Shea Stadium) [Remastered],spotify:track:4ADBECleY1W07PUKeKbsBN,0.877,0.466,0.981,0.0076,0.983,-6.364,0.825,73.947,0.096,36
Live at Shea Stadium (Remastered),2,4IYMOuGYUvxNxnTwG4ZbFy,London Calling (Live at Shea Stadium) [Remastered],spotify:track:4IYMOuGYUvxNxnTwG4ZbFy,0.019,0.435,0.973,0.000433,0.872,-3.141,0.0781,144.394,0.375,33
Live at Shea Stadium (Remastered),3,22ngBujvyyVNS3LqG4L5gg,Police on My Back (Live at Shea Stadium) [Remastered],spotify:track:22ngBujvyyVNS3LqG4L5gg,0.0292,0.416,0.993,0.0,0.958,-2.641,0.227,148.844,0.207,32
Live at Shea Stadium (Remastered),4,42E9jnRWssvI9Fxun5xTpi,The Guns of Brixton (Live at Shea Stadium) [Remastered],spotify:track:42E9jnRWssvI9Fxun5xTpi,0.00502,0.592,0.951,3.74e-05,0.632,-4.542,0.0499,114.156,0.593,31
Live at Shea Stadium (Remastered),5,7BZMn50FhmQKcsJa069q7T,Tommy Gun (Live at Shea Stadium) [Remastered],spotify:track:7BZMn50FhmQKcsJa069q7T,0.00402,0.248,0.966,0.0,0.942,-3.903,0.0717,165.037,0.585,29
Live at Shea Stadium (Remastered),6,1RmAEeUYBefgqcv3Tm6wyW,The Magnificent Seven (Live at Shea Stadium) [Remastered],spotify:track:1RmAEeUYBefgqcv3Tm6wyW,0.0266,0.661,0.92,0.0,0.14,-5.055,0.0934,132.091,0.697,29
Live at Shea Stadium (Remastered),7,5DjSs3Z4fQJ5DgYY2LDRnw,Armagideon Time (Live at Shea Stadium) [Remastered],spotify:track:5DjSs3Z4fQJ5DgYY2LDRnw,0.0258,0.533,0.725,0.0,0.264,-4.963,0.0516,175.473,0.424,28
Live at Shea Stadium (Remastered),8,3gjACwxfyBfGBHB2ju0wVc,Magnificent Seven (Return) (Live at Shea Stadium) [Remastered],spotify:track:3gjACwxfyBfGBHB2ju0wVc,0.0222,0.625,0.95,0.0,0.885,-4.407,0.0643,132.038,0.571,28
Live at Shea Stadium (Remastered),9,1Rwbxh5So0dUY3WBCxAWYA,Rock the Casbah (Live at Shea Stadium) [Remastered],spotify:track:1Rwbxh5So0dUY3WBCxAWYA,0.0994,0.396,0.992,0.0,0.825,-3.837,0.124,139.075,0.301,30
Live at Shea Stadium (Remastered),10,23nKfrMDxXcmGrI0dO5tYy,Train in Vain (Live at Shea Stadium) [Remastered],spotify:track:23nKfrMDxXcmGrI0dO5tYy,0.147,0.62,0.981,4.58e-05,0.757,-2.655,0.124,127.771,0.487,30
Live at Shea Stadium (Remastered),11,53i3MBMuPy9mzfTL5Gavyq,Career Opportunities (Live at Shea Stadium) [Remastered],spotify:track:53i3MBMuPy9mzfTL5Gavyq,0.0142,0.255,0.957,0.0,0.975,-3.103,0.0656,173.018,0.746,28
Live at Shea Stadium (Remastered),12,6fmP4qiEAPFbAxDpcC2AJt,Spanish Bombs (Live at Shea Stadium) [Remastered],spotify:track:6fmP4qiEAPFbAxDpcC2AJt,0.132,0.414,0.968,0.0,0.98,-3.397,0.0519,144.108,0.54,28
Live at Shea Stadium (Remastered),13,5Hh1R3xrTnhphXCv0EHodC,Clampdown (Live at Shea Stadium) [Remastered],spotify:track:5Hh1R3xrTnhphXCv0EHodC,0.0293,0.402,0.946,0.0,0.658,-3.813,0.12,149.575,0.614,28
Live at Shea Stadium (Remastered),14,1kZat5YRTegWVtmGlygLGS,English Civil War (Live at Shea Stadium) [Remastered],spotify:track:1kZat5YRTegWVtmGlygLGS,0.0364,0.289,0.947,0.0,0.515,-4.167,0.0939,158.383,0.234,26
Live at Shea Stadium (Remastered),15,4hg7t6CAM0AJ362uxEIOMI,Should I Stay or Should I Go (Live at Shea Stadium) [Remastered],spotify:track:4hg7t6CAM0AJ362uxEIOMI,0.0133,0.352,0.972,0.0,0.512,-3.35,0.164,131.389,0.698,33
Live at Shea Stadium (Remastered),16,4cWISFYi9uIagOxSDRIjWR,I Fought the Law (Live at Shea Stadium) [Remastered],spotify:track:4cWISFYi9uIagOxSDRIjWR,0.0134,0.214,0.991,1.5e-06,0.982,-3.181,0.168,161.98,0.46,29
From Here To Eternity Live,1,00ymsQK7D5HXKCM8BTJoh6,Complete Control - Live,spotify:track:00ymsQK7D5HXKCM8BTJoh6,2.26e-05,0.239,0.926,0.000396,0.685,-5.589,0.0509,176.674,0.52,0
From Here To Eternity Live,2,3QFJKGX6Dh2AkbTGnMpJme,London's Burning - Live,spotify:track:3QFJKGX6Dh2AkbTGnMpJme,0.00169,0.333,0.984,0.454,0.923,-4.979,0.13,165.246,0.512,0
From Here To Eternity Live,3,1YNbMB25nQM2ScOB6EerCA,What's My Name - Live,spotify:track:1YNbMB25nQM2ScOB6EerCA,0.000208,0.347,0.991,0.00926,0.943,-4.843,0.13,92.811,0.15,0
From Here To Eternity Live,4,4MHWOyPocdbjgbSJHrw5mc,Clash City Rockers - Live,spotify:track:4MHWOyPocdbjgbSJHrw5mc,0.000748,0.283,0.938,0.0,0.88,-5.976,0.084,163.102,0.531,0
From Here To Eternity Live,6,7fU5YVMnysku1rANJ2u9Em,(White Man) in Hammersmith Palais - Live,spotify:track:7fU5YVMnysku1rANJ2u9Em,4.47e-05,0.592,0.821,1.68e-05,0.976,-7.697,0.0379,112.059,0.483,0
From Here To Eternity Live,7,41GvZKJusAc7QB7I74A9Gl,Capital Radio - Live,spotify:track:41GvZKJusAc7QB7I74A9Gl,0.00176,0.394,0.967,3.44e-06,0.98,-6.682,0.073,96.253,0.466,0
From Here To Eternity Live,8,68bxe84CfSqmVJS6rXhs8y,City of the Dead - Live,spotify:track:68bxe84CfSqmVJS6rXhs8y,0.000177,0.287,0.979,1.13e-05,0.865,-5.339,0.112,188.057,0.42,0
From Here To Eternity Live,14,33FLS9hq5T3oaRFyVuYHpC,The Magnificent Seven - Live,spotify:track:33FLS9hq5T3oaRFyVuYHpC,0.00436,0.639,0.818,1.69e-05,0.935,-7.831,0.0585,132.403,0.543,0
From Here To Eternity Live,15,6OAjfjMVZB66BO7CmtaRYs,Know Your Rights - Live,spotify:track:6OAjfjMVZB66BO7CmtaRYs,7.99e-05,0.483,0.927,1.09e-05,0.992,-6.117,0.0416,106.063,0.744,0
From Here To Eternity Live,17,5FlFMqrGMofY2m0F4REhXq,Straight to Hell - Live,spotify:track:5FlFMqrGMofY2m0F4REhXq,0.0157,0.555,0.515,0.0024,0.931,-11.406,0.0462,97.535,0.475,0
