album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
Let It Be: Roberta Flack Sings The Beatles,5,0fMAesuIPTJ3bS1fEYZFhO,Oh! Darling,spotify:track:0fMAesuIPTJ3bS1fEYZFhO,0.752,0.55,0.491,1.22e-05,0.123,-6.076,0.0397,82.663,0.297,0
Let It Be Roberta (Roberta Flack Sings the Beatles),7,6qSCLr4e9IB0wjc9wlh18M,Long and Winding Road,spotify:track:6qSCLr4e9IB0wjc9wlh18M,0.652,0.537,0.487,6.34e-06,0.113,-4.921,0.0256,69.992,0.195,4
Let It Be Roberta (Roberta Flack Sings The Beatles),7,6yQOsgrK9Xsb791IgIyue1,The Long and Winding Road,spotify:track:6yQOsgrK9Xsb791IgIyue1,0.652,0.537,0.487,6.34e-06,0.113,-4.921,0.0256,69.992,0.195,7
Let It Be Roberta (Roberta Flack Sings The Beatles),9,06OtFBQET5RxKrODhP1ZjT,Isn't It a Pity,spotify:track:06OtFBQET5RxKrODhP1ZjT,0.0402,0.601,0.602,0.00213,0.107,-7.832,0.0412,140.02,0.28,4
Let It Be Roberta (Roberta Flack Sings The Beatles),12,7mCzdnJCHIxhdYlUoSBmyo,"Here, There and Everywhere",spotify:track:7mCzdnJCHIxhdYlUoSBmyo,0.836,0.379,0.175,0.0512,0.959,-12.806,0.0323,151.966,0.0392,4
Let It Be Roberta - Roberta Flack Sings The Beatles (Exclusive Version),13,6Hwmt5vQ7mAO1AoKIPYHbn,Im Looking Through You,spotify:track:6Hwmt5vQ7mAO1AoKIPYHbn,0.496,0.434,0.364,0.0,0.319,-7.589,0.0266,140.239,0.449,2
Let It Be Roberta - Roberta Flack Sings The Beatles (Exclusive Version),14,7h5Ln9VFRFbg41Cuw3SWyO,Yesterday,spotify:track:7h5Ln9VFRFbg41Cuw3SWyO,0.877,0.509,0.255,0.0,0.112,-8.324,0.0267,84.077,0.345,3
Let It Be Roberta - Roberta Flack Sings The Beatles (Exclusive Version),10,1kFJsAFuBdXileS3YP3MVE,If I Fell,spotify:track:1kFJsAFuBdXileS3YP3MVE,0.83,0.798,0.531,0.0257,0.0805,-8.778,0.0347,97.012,0.429,8
Let It Be Roberta - Roberta Flack Sings The Beatles,1,5d4B8ABRtJVTDvVHYwMqMR,In My Life,spotify:track:5d4B8ABRtJVTDvVHYwMqMR,0.0949,0.799,0.712,0.0266,0.0907,-4.747,0.0272,123.988,0.84,11
Let It Be Roberta - Roberta Flack Sings The Beatles,2,3PWDsUbTeGt29a6cOyiy7F,Hey Jude,spotify:track:3PWDsUbTeGt29a6cOyiy7F,0.857,0.57,0.242,0.0,0.104,-8.865,0.031,166.088,0.663,13
Let It Be Roberta - Roberta Flack Sings The Beatles,3,6wgtbIgy551Jecor2fPxdM,We Can Work It Out,spotify:track:6wgtbIgy551Jecor2fPxdM,0.145,0.732,0.662,1.53e-05,0.0457,-5.113,0.0412,84.014,0.418,9
Let It Be Roberta - Roberta Flack Sings The Beatles,4,0FjTIX0Xad9qTC9DxtMf00,Let It Be,spotify:track:0FjTIX0Xad9qTC9DxtMf00,0.354,0.615,0.382,4.5e-06,0.366,-6.722,0.0294,114.964,0.349,10
Let It Be Roberta - Roberta Flack Sings The Beatles,5,1PR4USEuvC7k3RqsgCGLJT,Oh Darling,spotify:track:1PR4USEuvC7k3RqsgCGLJT,0.772,0.511,0.49,8.31e-06,0.124,-6.508,0.0571,82.768,0.279,9
Let It Be Roberta - Roberta Flack Sings The Beatles,6,6Yr9Z5q8ECXjWoiD8h2htR,I Should Have Known Better,spotify:track:6Yr9Z5q8ECXjWoiD8h2htR,0.276,0.836,0.61,0.00619,0.0428,-5.103,0.0321,105.019,0.708,7
Let It Be Roberta - Roberta Flack Sings The Beatles,7,7d8LzFjs3rzuJBKBYzWUbb,The Long & Winding Road,spotify:track:7d8LzFjs3rzuJBKBYzWUbb,0.629,0.529,0.474,2.8e-06,0.112,-5.388,0.025,69.479,0.232,9
Let It Be Roberta - Roberta Flack Sings The Beatles,8,7jDagRfQUhJo3U7OYZLgi0,Come Together,spotify:track:7jDagRfQUhJo3U7OYZLgi0,0.316,0.727,0.386,0.00513,0.112,-8.644,0.0612,171.861,0.378,11
Let It Be Roberta - Roberta Flack Sings The Beatles,9,346WFzOi3jr8TCOaA4fSah,Isn't It A Pity,spotify:track:346WFzOi3jr8TCOaA4fSah,0.0363,0.572,0.569,0.00186,0.115,-8.402,0.0389,139.972,0.327,7
Let It Be Roberta - Roberta Flack Sings The Beatles,11,57mAL7zuOVp82whUafKlJI,And I Love Him,spotify:track:57mAL7zuOVp82whUafKlJI,0.486,0.821,0.786,4.21e-05,0.261,-4.942,0.0375,131.011,0.965,7
Let It Be Roberta - Roberta Flack Sings The Beatles,12,3MQ1vw3e5IyUzh6wUPSqtP,"Here, There And Everywhere",spotify:track:3MQ1vw3e5IyUzh6wUPSqtP,0.825,0.366,0.18,0.0342,0.956,-12.785,0.0327,158.789,0.0399,7
The Soul of Roberta Flack,1,6RQQ8Jrap6ICF5j6Hdfyy0,The Closer I Get To You,spotify:track:6RQQ8Jrap6ICF5j6Hdfyy0,0.971,0.253,0.184,4.81e-06,0.351,-16.751,0.0461,84.445,0.272,16
The Soul of Roberta Flack,4,2qNCAmMdGRjBPV8Mt0pIsk,Some Gospel According To Matthew,spotify:track:2qNCAmMdGRjBPV8Mt0pIsk,0.868,0.696,0.134,5.84e-06,0.288,-18.854,0.114,121.303,0.441,9
The Soul of Roberta Flack,7,1MM3GnirfPfA6OBHHbj0Ah,Stormy Monday,spotify:track:1MM3GnirfPfA6OBHHbj0Ah,0.934,0.57,0.202,0.0,0.46,-17.074,0.222,128.169,0.303,8
The Soul of Roberta Flack,9,0ykpnquV6IdV5EEIPHsyor,Why Don't You Move In With Me,spotify:track:0ykpnquV6IdV5EEIPHsyor,0.755,0.762,0.262,0.0,0.37,-14.608,0.0421,99.143,0.635,7
The Soul of Roberta Flack,11,7wW1T9QqrerVnZZk78WKl3,Killing Me Softly With His Song,spotify:track:7wW1T9QqrerVnZZk78WKl3,0.858,0.445,0.228,0.0,0.889,-14.673,0.0393,137.528,0.356,13
