album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
After Hours (Deluxe),15,5ciyqWW5YuGqF4Avu7uwry,Nothing Compares - Bonus Track,spotify:track:5ciyqWW5YuGqF4Avu7uwry,0.00253,0.532,0.577,0.0437,0.234,-9.313,0.0352,131.922,0.0397,75
After Hours (Deluxe),16,38uNCW1do0LKfMIt4MDkPo,Missed You - Bonus Track,spotify:track:38uNCW1do0LKfMIt4MDkPo,0.115,0.689,0.374,0.000132,0.111,-10.038,0.0851,151.98,0.321,75
After Hours (Deluxe),17,6rhbL6MhAej39S8KupwjrC,Final Lullaby - Bonus Track,spotify:track:6rhbL6MhAej39S8KupwjrC,0.841,0.604,0.26,9.33e-05,0.327,-10.498,0.0373,100.901,0.318,72
After Hours,1,6b5P51m8xx2XA6U7sdNZ5E,Alone Again,spotify:track:6b5P51m8xx2XA6U7sdNZ5E,0.033,0.218,0.652,0.111,0.172,-7.953,0.0641,65.375,0.0599,77
After Hours,2,2K9Ovn1o2bTGqbsABGC6m3,Too Late,spotify:track:2K9Ovn1o2bTGqbsABGC6m3,0.052,0.638,0.863,5.46e-05,0.685,-5.221,0.132,120.077,0.226,77
After Hours,3,6kWxIqQDsKFYCJGbU4AjCX,Hardest To Love,spotify:track:6kWxIqQDsKFYCJGbU4AjCX,0.0909,0.467,0.608,8.83e-05,0.125,-7.847,0.0707,80.957,0.108,79
After Hours,4,4BGZF4oLbTL0pWm7C18pbv,Scared To Live,spotify:track:4BGZF4oLbTL0pWm7C18pbv,0.131,0.504,0.498,0.0,0.0929,-8.24,0.0499,87.221,0.196,79
After Hours,5,3WlbeuhfRSqU7ylK2Ui5U7,Snowchild,spotify:track:3WlbeuhfRSqU7ylK2Ui5U7,0.162,0.55,0.611,6.88e-05,0.121,-7.475,0.137,148.062,0.243,77
After Hours,6,1sOW4PuG5X3Ie3EXUhAopJ,Escape From LA,spotify:track:1sOW4PuG5X3Ie3EXUhAopJ,0.0456,0.404,0.524,0.00316,0.199,-8.996,0.0593,145.74,0.168,77
After Hours,7,6bnF93Rx87YqUBLSgjiMU8,Heartless,spotify:track:6bnF93Rx87YqUBLSgjiMU8,0.0236,0.537,0.746,1.01e-06,0.156,-5.507,0.15,170.062,0.252,85
After Hours,8,3orEOtd8CPL8GFlpRpKuoE,Faith,spotify:track:3orEOtd8CPL8GFlpRpKuoE,0.612,0.375,0.605,0.0448,0.147,-7.268,0.0729,175.946,0.128,77
After Hours,9,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,0.00146,0.514,0.73,9.54e-05,0.0897,-5.934,0.0598,171.005,0.334,100
After Hours,10,7szuecWAPwGoV1e5vGu8tl,In Your Eyes,spotify:track:7szuecWAPwGoV1e5vGu8tl,0.00285,0.667,0.719,8.1e-05,0.0736,-5.371,0.0346,100.021,0.717,92
After Hours,11,5QO79kh1waicV47BqGRL3g,Save Your Tears,spotify:track:5QO79kh1waicV47BqGRL3g,0.0212,0.68,0.826,1.24e-05,0.543,-5.487,0.0309,118.051,0.644,83
After Hours,12,40U8d12pC5UHqmHwXjHjjl,Repeat After Me (Interlude),spotify:track:40U8d12pC5UHqmHwXjHjjl,0.0323,0.555,0.619,0.000224,0.0917,-7.918,0.0314,95.032,0.141,74
After Hours,13,2p8IUWQDrpjuFltbdgLOag,After Hours,spotify:track:2p8IUWQDrpjuFltbdgLOag,0.0811,0.664,0.572,0.00604,0.121,-6.099,0.0305,108.959,0.143,86
After Hours,14,2BcnxwxBuar5wjCaLqm5N3,Until I Bleed Out,spotify:track:2BcnxwxBuar5wjCaLqm5N3,0.423,0.245,0.394,2.9e-05,0.093,-9.887,0.0374,115.233,0.148,74
"My Dear Melancholy,",1,09mEdoA6zrmBPgTEN5qXmN,Call Out My Name,spotify:track:09mEdoA6zrmBPgTEN5qXmN,0.17,0.461,0.593,0.0,0.307,-4.954,0.0356,134.17,0.175,83
"My Dear Melancholy,",2,4ppTAJUbNXELZcoUaL90wo,Try Me,spotify:track:4ppTAJUbNXELZcoUaL90wo,0.596,0.456,0.679,0.000573,0.129,-5.778,0.064,92.026,0.107,73
"My Dear Melancholy,",3,7DKS0rX27cCEPsK0R6tFWS,Wasted Times,spotify:track:7DKS0rX27cCEPsK0R6tFWS,0.61,0.56,0.678,1.42e-05,0.111,-6.167,0.0581,122.585,0.29,72
"My Dear Melancholy,",4,1cKHdTo9u0ZymJdPGSh6nq,I Was Never There,spotify:track:1cKHdTo9u0ZymJdPGSh6nq,0.142,0.323,0.737,0.000162,0.163,-4.008,0.0338,113.26,0.155,70
"My Dear Melancholy,",5,6QdnKD1zwEgyOWtkrdzlOF,Hurt You,spotify:track:6QdnKD1zwEgyOWtkrdzlOF,0.263,0.476,0.718,0.00261,0.109,-7.227,0.149,183.932,0.361,71
"My Dear Melancholy,",6,0Nwar8rweBUyfyuoyjjUvk,Privilege,spotify:track:0Nwar8rweBUyfyuoyjjUvk,0.915,0.404,0.564,0.00252,0.134,-7.013,0.0344,93.631,0.371,69
"My Dear Melancholy,",7,5PTfZsGlsDDPH8i3PdQnXJ,Call Out My Name - A Cappella,spotify:track:5PTfZsGlsDDPH8i3PdQnXJ,0.887,0.397,0.339,0.0,0.306,-6.688,0.0361,135.089,0.459,59
Starboy,1,7MXVkk9YMctZqd1Srtv4MB,Starboy,spotify:track:7MXVkk9YMctZqd1Srtv4MB,0.141,0.679,0.587,6.35e-06,0.137,-7.015,0.276,186.003,0.486,84
Starboy,2,4F7A0DXBrmUAkp32uenhZt,Party Monster,spotify:track:4F7A0DXBrmUAkp32uenhZt,0.189,0.573,0.63,2.31e-05,0.259,-8.389,0.105,77.525,0.218,73
Starboy,3,4oeaIftdpT3JuZLcCkKmVE,False Alarm,spotify:track:4oeaIftdpT3JuZLcCkKmVE,0.0324,0.517,0.677,3.37e-05,0.189,-6.373,0.0746,173.978,0.192,70
Starboy,4,37F0uwRSrdzkBiuj0D5UHI,Reminder,spotify:track:37F0uwRSrdzkBiuj0D5UHI,0.142,0.706,0.505,0.0,0.164,-6.923,0.193,160.053,0.388,73
Starboy,5,36YCdzT57us0LhDmCYtrNE,Rockin’,spotify:track:36YCdzT57us0LhDmCYtrNE,0.0133,0.738,0.885,0.0,0.0821,-5.547,0.206,112.878,0.752,69
Starboy,6,00NAQYOP4AmWR549nnYJZu,Secrets,spotify:track:00NAQYOP4AmWR549nnYJZu,0.0155,0.664,0.771,9.6e-06,0.46,-5.779,0.0533,109.945,0.763,71
Starboy,7,1oGdVdYjeQvojGKDddxLQQ,True Colors,spotify:track:1oGdVdYjeQvojGKDddxLQQ,0.286,0.624,0.424,0.0,0.173,-8.237,0.24,76.671,0.584,69
Starboy,8,4EDijkJdHBZZ0GwJ12iTAj,Stargirl Interlude,spotify:track:4EDijkJdHBZZ0GwJ12iTAj,0.351,0.638,0.474,0.191,0.105,-12.7,0.124,179.771,0.441,66
Starboy,9,4h90qkbnW1Qq6pBhoPvwko,Sidewalks,spotify:track:4h90qkbnW1Qq6pBhoPvwko,0.147,0.542,0.72,0.0,0.348,-5.136,0.0628,149.828,0.623,70
Starboy,10,4mU5iXHeLgbR94siF7p1sY,Six Feet Under,spotify:track:4mU5iXHeLgbR94siF7p1sY,0.129,0.772,0.504,0.0,0.125,-8.219,0.0761,140.035,0.244,68
Starboy,11,27BgDmciSjoxTG0almHTpZ,Love To Lay,spotify:track:27BgDmciSjoxTG0almHTpZ,0.052,0.711,0.807,0.0,0.214,-5.052,0.0608,116.971,0.698,65
Starboy,12,0ifooM33X1iBxVYyOkSbXW,A Lonely Night,spotify:track:0ifooM33X1iBxVYyOkSbXW,0.0431,0.853,0.663,8.71e-06,0.0891,-6.955,0.0755,113.998,0.864,67
Starboy,13,6pDVjCUA3B1vg9waKutAsv,Attention,spotify:track:6pDVjCUA3B1vg9waKutAsv,0.688,0.671,0.428,0.000182,0.119,-7.052,0.124,148.04,0.362,66
Starboy,14,15k2nBQJ0teDmPZHrOXL2N,Ordinary Life,spotify:track:15k2nBQJ0teDmPZHrOXL2N,0.0275,0.537,0.587,0.0,0.0961,-7.486,0.0771,149.748,0.365,66
Starboy,15,57qiTKh8bVX0VtfUNTQqhw,Nothing Without You,spotify:track:57qiTKh8bVX0VtfUNTQqhw,0.0646,0.575,0.634,0.0,0.0878,-8.1,0.068,109.825,0.191,66
Starboy,16,0NWqNXBJTpXbkI5rPWNy3p,All I Know,spotify:track:0NWqNXBJTpXbkI5rPWNy3p,0.421,0.467,0.417,0.000202,0.102,-10.614,0.074,120.021,0.171,65
Starboy,17,2Ch7LmS7r2Gy2kc64wv3Bz,Die For You,spotify:track:2Ch7LmS7r2Gy2kc64wv3Bz,0.111,0.582,0.525,0.0,0.134,-7.163,0.0627,133.249,0.51,77
Starboy,18,3dhjNA0jGA8vHBQ1VdD6vV,I Feel It Coming,spotify:track:3dhjNA0jGA8vHBQ1VdD6vV,0.428,0.773,0.819,0.0,0.0679,-5.946,0.118,92.987,0.585,80
Beauty Behind The Madness,15,5KIfOGEy5DM2TaT0ph5nYM,Can't Feel My Face - Martin Garrix Remix,spotify:track:5KIfOGEy5DM2TaT0ph5nYM,0.0104,0.605,0.714,2.35e-05,0.324,-5.432,0.101,128.025,0.136,12
Beauty Behind The Madness,16,2jpBr2dJrIgrpkqorINSAa,The Hills - Remix,spotify:track:2jpBr2dJrIgrpkqorINSAa,0.0681,0.65,0.632,0.0,0.0875,-6.672,0.184,112.927,0.33,9
Beauty Behind The Madness,1,03j354P848KtNU2FVSwkDG,Real Life,spotify:track:03j354P848KtNU2FVSwkDG,0.439,0.581,0.652,0.0,0.351,-5.039,0.0496,90.634,0.358,62
Beauty Behind The Madness,2,1bAvtmTl0F9loyz9AwPwp7,Losers,spotify:track:1bAvtmTl0F9loyz9AwPwp7,0.0355,0.666,0.485,0.000599,0.504,-9.85,0.053,91.007,0.287,62
Beauty Behind The Madness,3,1mhVXWduD8ReDwusfaHNwU,Tell Your Friends,spotify:track:1mhVXWduD8ReDwusfaHNwU,0.265,0.583,0.454,0.0,0.181,-11.091,0.0425,74.64,0.309,68
Beauty Behind The Madness,4,4PhsKqMdgMEUSstTDAmMpg,Often,spotify:track:4PhsKqMdgMEUSstTDAmMpg,0.222,0.572,0.631,0.0,0.135,-9.836,0.0476,134.078,0.0713,76
Beauty Behind The Madness,5,7fBv7CLKzipRk6EC6TWHOB,The Hills,spotify:track:7fBv7CLKzipRk6EC6TWHOB,0.0671,0.585,0.564,0.0,0.135,-7.063,0.0515,113.003,0.137,83
Beauty Behind The Madness,6,7uJH0YdSZL6psjxI6Xy08b,Acquainted,spotify:track:7uJH0YdSZL6psjxI6Xy08b,0.482,0.372,0.478,0.0,0.0844,-9.835,0.0503,101.102,0.254,72
Beauty Behind The Madness,7,22VdIZQfgXJea34mQxlt81,Can't Feel My Face,spotify:track:22VdIZQfgXJea34mQxlt81,0.113,0.705,0.769,0.0,0.105,-5.526,0.0425,107.949,0.583,79
Beauty Behind The Madness,8,6C6fHTuFUxVtJpBOOaMvJr,Shameless,spotify:track:6C6fHTuFUxVtJpBOOaMvJr,0.147,0.603,0.563,0.0,0.109,-8.313,0.027,100.06,0.234,68
Beauty Behind The Madness,9,4frLb7nWtsz2ymBE6k2GRP,Earned It (Fifty Shades Of Grey),spotify:track:4frLb7nWtsz2ymBE6k2GRP,0.405,0.659,0.291,0.0,0.0771,-8.275,0.0348,119.829,0.406,71
Beauty Behind The Madness,10,25KybV9BOUlvcnv7nN3Pyo,In The Night,spotify:track:25KybV9BOUlvcnv7nN3Pyo,0.0796,0.505,0.68,0.0,0.0465,-4.993,0.0714,168.022,0.539,72
Beauty Behind The Madness,11,3H3qBumaYj67PT3aMEBvAP,As You Are,spotify:track:3H3qBumaYj67PT3aMEBvAP,0.131,0.377,0.329,0.00654,0.279,-9.67,0.0569,173.663,0.0528,63
Beauty Behind The Madness,12,6J7PIkhtHwmFjPLq0SyuPj,Dark Times,spotify:track:6J7PIkhtHwmFjPLq0SyuPj,0.116,0.501,0.403,1.03e-05,0.124,-9.611,0.0747,132.608,0.27,68
Beauty Behind The Madness,13,1gZADNt16Oh23jWyMYRk4p,Prisoner,spotify:track:1gZADNt16Oh23jWyMYRk4p,0.443,0.551,0.405,0.000217,0.11,-12.756,0.0398,135.017,0.341,64
Beauty Behind The Madness,14,0wzPHTgOtFIDhk2rD3Au4x,Angel,spotify:track:0wzPHTgOtFIDhk2rD3Au4x,0.105,0.626,0.583,0.0,0.115,-7.574,0.0435,127.966,0.335,64
Kiss Land (Deluxe),12,7xcqbjV2NfxlnJzqdRuO7E,Odd Look,spotify:track:7xcqbjV2NfxlnJzqdRuO7E,0.246,0.627,0.897,0.0,0.117,-3.647,0.0504,104.947,0.257,51
Kiss Land,1,5ZicFGBDAi9J2YCVesboUp,Professional,spotify:track:5ZicFGBDAi9J2YCVesboUp,0.162,0.405,0.619,0.000334,0.0788,-8.92,0.0615,120.092,0.234,59
Kiss Land,2,7jGr8wzgwOVLuktY66qM5f,The Town,spotify:track:7jGr8wzgwOVLuktY66qM5f,0.361,0.625,0.524,2.67e-06,0.0826,-8.227,0.0369,139.968,0.191,51
Kiss Land,3,4pHQ9RYFhn3W0ha5KEuMnj,Adaptation,spotify:track:4pHQ9RYFhn3W0ha5KEuMnj,0.151,0.642,0.79,0.000583,0.305,-6.8,0.0681,114.96,0.613,52
Kiss Land,4,3WKYPmiPpJas9j5Aari5iK,Love In The Sky,spotify:track:3WKYPmiPpJas9j5Aari5iK,0.16,0.644,0.736,0.000156,0.6,-6.862,0.0514,115.032,0.347,59
Kiss Land,5,3D7izPzeEcz7lBhcCZJccl,Belong To The World,spotify:track:3D7izPzeEcz7lBhcCZJccl,0.00392,0.501,0.858,0.0,0.119,-6.27,0.0578,121.018,0.361,52
Kiss Land,6,3kgqHVqfiabABjaFi9Tnhn,Live For,spotify:track:3kgqHVqfiabABjaFi9Tnhn,0.517,0.626,0.68,0.0,0.114,-7.64,0.112,75.978,0.227,60
Kiss Land,7,6V9TlCdwLeQes4FX5zxz3f,Wanderlust,spotify:track:6V9TlCdwLeQes4FX5zxz3f,0.0668,0.637,0.652,0.175,0.0714,-5.237,0.0435,115.924,0.0725,54
Kiss Land,8,5idmfDT06TjCQ1SPDsa5qh,Kiss Land,spotify:track:5idmfDT06TjCQ1SPDsa5qh,0.0415,0.324,0.852,0.0,0.061,-6.675,0.109,121.881,0.4,54
Kiss Land,9,0ei3uNcwJOiUocuks1vWcb,Pretty,spotify:track:0ei3uNcwJOiUocuks1vWcb,0.0355,0.58,0.685,3.42e-05,0.315,-6.829,0.0394,125.968,0.331,60
Kiss Land,10,5oAOK7xCJD8hzp9PuxjULL,Tears In The Rain,spotify:track:5oAOK7xCJD8hzp9PuxjULL,0.109,0.655,0.636,0.237,0.0842,-7.84,0.0453,160.01,0.185,53
