album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
I Love You,1,33s7zjLDVCmxTsadyr0uKr,Dure Oi Pahar Misheche,spotify:track:33s7zjLDVCmxTsadyr0uKr,0.583,0.8,0.598,0.000327,0.245,-7.819,0.0784,115.016,0.899,13
I Love You,2,39CjBOktmplV3jhkcMceaX,Bhalobasha Haat Baralo,spotify:track:39CjBOktmplV3jhkcMceaX,0.217,0.616,0.763,3.13e-05,0.134,-6.959,0.044,92.012,0.687,10
I Love You,3,2qPot7X4lNLXvHHOnG8xdA,Cholre Cholre bhai,spotify:track:2qPot7X4lNLXvHHOnG8xdA,0.107,0.745,0.941,1.39e-05,0.762,-6.177,0.0799,100.353,0.634,8
I Love You,4,1a4ULwV8U9oepK2d6yY86D,Ekta Kotha Bolbo,spotify:track:1a4ULwV8U9oepK2d6yY86D,0.521,0.713,0.715,0.000255,0.134,-7.127,0.0904,91.965,0.794,10
I Love You,5,6EqlVG7e4DWJPjaNOksVL3,I Love You Theme,spotify:track:6EqlVG7e4DWJPjaNOksVL3,0.519,0.765,0.698,0.0,0.0522,-8.619,0.0841,94.984,0.731,10
I Love You,6,5IJj9uz1ATu2PW7jEwd89C,Mon Mane Na,spotify:track:5IJj9uz1ATu2PW7jEwd89C,0.733,0.608,0.802,2.99e-05,0.0988,-6.999,0.0594,94.932,0.528,8
Sonu Nigam Devi Bhajans,1,3Xctt7zhjvNhmZBFM3QwxT,"Aaja Maa Tenu Ankhiyan Udeek Diyaan (From ""Jai Maa Vaishno Devi"")",spotify:track:3Xctt7zhjvNhmZBFM3QwxT,0.704,0.359,0.765,0.0,0.0684,-3.751,0.0368,89.687,0.651,7
Sonu Nigam Devi Bhajans,2,0NeYpLvZPvIZTxxPPT1CXm,"Sawan Ki Rut Hai (From ""Meri Maa"")",spotify:track:0NeYpLvZPvIZTxxPPT1CXm,0.688,0.549,0.837,0.0,0.532,-6.707,0.0643,89.984,0.841,8
Sonu Nigam Devi Bhajans,3,0BNcac0b5LKGQhd3khI8Aj,"Mere Naino Ki Pyaas (From ""Jai Maa Vaishno Devi"")",spotify:track:0BNcac0b5LKGQhd3khI8Aj,0.389,0.439,0.885,0.0,0.308,-4.798,0.0736,87.924,0.862,9
Sonu Nigam Devi Bhajans,4,7HtML0QR5LXGGhfEUkR2gT,"Ghar Ghar Mein Mahima Teri (From ""Ras Barse Tere Bhawan Mein"")",spotify:track:7HtML0QR5LXGGhfEUkR2gT,0.263,0.63,0.734,0.0,0.617,-7.991,0.103,102.683,0.772,7
